Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
23/02/2023 12:00:00 AM,243.91 V,245.09 V,243.77 V,7.62 A,4.93 A,5.41 A,-0.98 pf
23/02/2023 12:30:00 AM,242.70 V,244.03 V,242.62 V,7.56 A,4.60 A,5.23 A,-0.99 pf
23/02/2023 1:00:00 AM,243.80 V,245.14 V,243.73 V,7.53 A,4.53 A,4.69 A,-0.99 pf
23/02/2023 1:30:00 AM,244.58 V,245.80 V,244.44 V,7.44 A,5.26 A,5.05 A,-0.98 pf
23/02/2023 2:00:00 AM,244.97 V,246.26 V,244.75 V,7.47 A,4.78 A,5.32 A,-0.98 pf
23/02/2023 2:30:00 AM,245.31 V,246.59 V,245.16 V,7.47 A,4.96 A,5.65 A,-0.97 pf
23/02/2023 3:00:00 AM,244.11 V,245.19 V,243.70 V,7.41 A,4.75 A,5.80 A,-0.98 pf
23/02/2023 3:30:00 AM,243.96 V,245.26 V,243.73 V,7.41 A,4.81 A,5.23 A,-0.98 pf
23/02/2023 4:00:00 AM,245.97 V,247.22 V,245.69 V,7.44 A,4.75 A,5.44 A,-0.97 pf
23/02/2023 4:30:00 AM,247.74 V,249.09 V,247.51 V,7.59 A,4.72 A,5.99 A,-0.96 pf
23/02/2023 5:00:00 AM,244.54 V,245.74 V,244.40 V,7.38 A,4.81 A,4.57 A,-0.99 pf
23/02/2023 5:30:00 AM,244.35 V,245.43 V,244.13 V,7.38 A,4.57 A,4.26 A,-0.99 pf
23/02/2023 6:00:00 AM,243.41 V,244.44 V,243.17 V,7.32 A,4.78 A,4.72 A,-0.98 pf
23/02/2023 6:30:00 AM,243.36 V,244.35 V,243.05 V,7.32 A,4.53 A,5.35 A,-0.98 pf
23/02/2023 7:00:00 AM,242.82 V,243.82 V,242.55 V,7.35 A,4.41 A,5.17 A,-0.99 pf
23/02/2023 7:30:00 AM,244.35 V,245.18 V,244.87 V,7.50 A,5.41 A,4.87 A,-0.98 pf
23/02/2023 8:00:00 AM,242.72 V,243.24 V,243.17 V,16.63 A,11.91 A,16.87 A,-0.99 pf
23/02/2023 8:30:00 AM,241.81 V,242.57 V,242.26 V,20.13 A,13.67 A,19.89 A,-0.99 pf
23/02/2023 9:00:00 AM,240.54 V,241.04 V,241.05 V,20.92 A,15.03 A,20.10 A,-0.99 pf
23/02/2023 9:30:00 AM,239.63 V,240.16 V,240.08 V,21.10 A,15.06 A,19.68 A,-0.99 pf
23/02/2023 10:00:00 AM,239.37 V,239.85 V,239.68 V,21.43 A,15.42 A,21.07 A,-0.99 pf
23/02/2023 10:30:00 AM,240.45 V,240.83 V,240.71 V,21.71 A,15.60 A,20.71 A,-0.99 pf
23/02/2023 11:00:00 AM,241.02 V,241.55 V,241.33 V,22.98 A,16.33 A,21.50 A,-0.99 pf
23/02/2023 11:30:00 AM,241.19 V,241.66 V,241.55 V,22.98 A,17.11 A,19.98 A,-0.99 pf
23/02/2023 12:00:00 PM,242.02 V,242.53 V,242.33 V,20.68 A,15.48 A,19.41 A,1.00 pf
23/02/2023 12:30:00 PM,243.13 V,243.70 V,243.58 V,19.41 A,13.51 A,19.32 A,0.99 pf
23/02/2023 1:00:00 PM,242.53 V,243.12 V,242.98 V,19.20 A,13.06 A,19.50 A,0.99 pf
23/02/2023 1:30:00 PM,240.85 V,241.21 V,241.29 V,19.95 A,13.48 A,18.74 A,0.99 pf
23/02/2023 2:00:00 PM,240.04 V,240.42 V,240.50 V,20.74 A,13.76 A,20.44 A,1.00 pf
23/02/2023 2:30:00 PM,239.15 V,240.01 V,240.08 V,23.25 A,13.60 A,13.82 A,-0.99 pf
23/02/2023 3:00:00 PM,240.90 V,241.88 V,242.15 V,26.48 A,16.60 A,12.37 A,-0.99 pf
23/02/2023 3:30:00 PM,240.40 V,241.55 V,241.79 V,28.18 A,16.08 A,10.91 A,-0.99 pf
23/02/2023 4:00:00 PM,241.16 V,241.83 V,242.08 V,24.19 A,14.30 A,9.22 A,1.00 pf
23/02/2023 4:30:00 PM,242.07 V,242.86 V,242.82 V,20.04 A,8.04 A,8.56 A,-1.00 pf
23/02/2023 5:00:00 PM,241.71 V,242.55 V,242.60 V,18.68 A,4.84 A,8.25 A,-0.99 pf
23/02/2023 5:30:00 PM,243.72 V,244.68 V,244.90 V,19.08 A,4.96 A,6.41 A,1.00 pf
23/02/2023 6:00:00 PM,241.43 V,242.60 V,242.70 V,19.41 A,5.14 A,8.01 A,-0.99 pf
23/02/2023 6:30:00 PM,242.57 V,243.87 V,243.36 V,18.99 A,4.96 A,8.16 A,-0.99 pf
23/02/2023 7:00:00 PM,247.34 V,249.06 V,247.75 V,18.65 A,4.87 A,8.13 A,-0.99 pf
23/02/2023 7:30:00 PM,246.53 V,248.32 V,246.91 V,18.29 A,5.53 A,8.22 A,-0.99 pf
23/02/2023 8:00:00 PM,247.53 V,249.09 V,247.68 V,17.50 A,5.29 A,8.01 A,-0.99 pf
23/02/2023 8:30:00 PM,247.58 V,249.01 V,247.89 V,16.75 A,5.44 A,7.07 A,-0.99 pf
23/02/2023 9:00:00 PM,247.08 V,248.51 V,247.27 V,16.17 A,5.20 A,7.44 A,-0.99 pf
23/02/2023 9:30:00 PM,243.79 V,245.02 V,243.85 V,15.87 A,5.26 A,7.35 A,-0.99 pf
23/02/2023 10:00:00 PM,245.83 V,247.10 V,245.78 V,15.18 A,5.02 A,7.56 A,-0.99 pf
23/02/2023 10:30:00 PM,247.60 V,248.68 V,247.44 V,14.54 A,5.08 A,7.38 A,-0.99 pf
23/02/2023 11:00:00 PM,247.91 V,248.97 V,247.81 V,13.42 A,4.90 A,7.38 A,-0.99 pf
23/02/2023 11:30:00 PM,246.05 V,247.26 V,246.12 V,12.67 A,5.02 A,6.02 A,-0.99 pf
