Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
05/02/2023 12:00:00 AM,241.71 V,242.84 V,241.81 V,6.68 A,4.57 A,5.23 A,-0.98 pf
05/02/2023 12:30:00 AM,242.21 V,243.44 V,242.26 V,6.80 A,4.50 A,5.02 A,-0.99 pf
05/02/2023 1:00:00 AM,242.82 V,244.08 V,242.79 V,6.80 A,4.53 A,5.56 A,-0.99 pf
05/02/2023 1:30:00 AM,243.39 V,244.44 V,243.27 V,6.77 A,5.05 A,5.41 A,-0.98 pf
05/02/2023 2:00:00 AM,243.53 V,244.75 V,243.56 V,6.62 A,4.57 A,5.14 A,-0.98 pf
05/02/2023 2:30:00 AM,243.68 V,244.85 V,243.65 V,6.56 A,4.93 A,5.14 A,-0.98 pf
05/02/2023 3:00:00 AM,243.91 V,245.02 V,243.77 V,6.47 A,4.44 A,5.44 A,-0.98 pf
05/02/2023 3:30:00 AM,244.27 V,245.49 V,244.13 V,6.71 A,4.75 A,5.47 A,-0.98 pf
05/02/2023 4:00:00 AM,244.25 V,245.55 V,244.15 V,6.44 A,4.38 A,4.78 A,-0.98 pf
05/02/2023 4:30:00 AM,244.63 V,245.76 V,244.34 V,6.35 A,4.72 A,5.47 A,-0.97 pf
05/02/2023 5:00:00 AM,244.42 V,245.66 V,244.23 V,6.47 A,4.50 A,5.44 A,-0.98 pf
05/02/2023 5:30:00 AM,243.20 V,244.30 V,243.17 V,6.71 A,4.66 A,3.45 A,-0.99 pf
05/02/2023 6:00:00 AM,243.03 V,244.13 V,242.89 V,6.38 A,4.47 A,4.93 A,-0.99 pf
05/02/2023 6:30:00 AM,242.36 V,243.53 V,242.21 V,6.38 A,4.38 A,5.56 A,-0.98 pf
05/02/2023 7:00:00 AM,242.29 V,243.60 V,242.22 V,6.38 A,4.47 A,5.02 A,-0.99 pf
05/02/2023 7:30:00 AM,243.82 V,245.13 V,244.30 V,6.38 A,4.69 A,5.20 A,-0.98 pf
