Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
07/02/2023 12:00:00 AM,244.90 V,245.95 V,244.90 V,7.01 A,4.78 A,6.56 A,-0.97 pf
07/02/2023 12:30:00 AM,244.32 V,245.40 V,244.40 V,6.95 A,4.60 A,5.56 A,-0.99 pf
07/02/2023 1:00:00 AM,245.18 V,246.28 V,245.33 V,6.89 A,4.53 A,5.08 A,-0.99 pf
07/02/2023 1:30:00 AM,244.99 V,246.05 V,244.99 V,6.86 A,5.11 A,6.05 A,-0.97 pf
07/02/2023 2:00:00 AM,244.59 V,245.71 V,244.54 V,6.83 A,4.57 A,6.56 A,-0.98 pf
07/02/2023 2:30:00 AM,245.45 V,246.36 V,245.19 V,6.89 A,4.87 A,6.53 A,-0.97 pf
07/02/2023 3:00:00 AM,245.52 V,246.67 V,245.49 V,6.89 A,4.57 A,5.99 A,-0.98 pf
07/02/2023 3:30:00 AM,245.42 V,246.53 V,245.37 V,6.68 A,4.81 A,5.32 A,-0.97 pf
07/02/2023 4:00:00 AM,245.85 V,246.88 V,245.61 V,6.65 A,4.41 A,5.80 A,-0.97 pf
07/02/2023 4:30:00 AM,243.27 V,244.49 V,243.22 V,6.83 A,4.69 A,5.62 A,-0.98 pf
07/02/2023 5:00:00 AM,243.18 V,244.20 V,242.89 V,6.44 A,4.60 A,5.26 A,-0.98 pf
07/02/2023 5:30:00 AM,242.70 V,243.70 V,242.57 V,6.59 A,4.53 A,5.14 A,-0.98 pf
07/02/2023 6:00:00 AM,242.10 V,243.06 V,241.90 V,6.62 A,4.60 A,5.68 A,-0.98 pf
07/02/2023 6:30:00 AM,245.25 V,246.22 V,245.11 V,6.50 A,4.38 A,5.35 A,-0.98 pf
07/02/2023 7:00:00 AM,247.41 V,248.46 V,247.55 V,6.68 A,4.50 A,3.99 A,-0.99 pf
07/02/2023 7:30:00 AM,247.01 V,247.86 V,247.43 V,8.19 A,6.47 A,6.02 A,-0.98 pf
07/02/2023 8:00:00 AM,245.64 V,246.69 V,246.59 V,16.96 A,10.43 A,8.25 A,-0.99 pf
07/02/2023 8:30:00 AM,246.19 V,246.76 V,247.15 V,16.84 A,14.06 A,11.34 A,-0.99 pf
07/02/2023 9:00:00 AM,243.00 V,243.32 V,244.03 V,16.81 A,12.76 A,10.10 A,-1.00 pf
07/02/2023 9:30:00 AM,241.67 V,241.93 V,242.53 V,17.50 A,13.60 A,10.85 A,-1.00 pf
07/02/2023 10:00:00 AM,240.66 V,241.12 V,241.52 V,18.47 A,13.60 A,12.18 A,1.00 pf
07/02/2023 10:30:00 AM,240.33 V,240.92 V,241.28 V,20.77 A,13.57 A,11.07 A,0.99 pf
07/02/2023 11:00:00 AM,239.34 V,240.28 V,240.35 V,21.71 A,13.54 A,12.27 A,0.99 pf
07/02/2023 11:30:00 AM,239.90 V,240.80 V,240.80 V,22.37 A,13.24 A,12.30 A,0.99 pf
07/02/2023 12:00:00 PM,242.10 V,242.94 V,243.22 V,21.43 A,13.39 A,9.73 A,0.99 pf
07/02/2023 12:30:00 PM,240.99 V,241.79 V,242.21 V,21.04 A,13.27 A,8.92 A,0.99 pf
07/02/2023 1:00:00 PM,240.08 V,240.95 V,241.59 V,20.50 A,13.09 A,7.86 A,0.99 pf
07/02/2023 1:30:00 PM,242.48 V,243.15 V,243.73 V,19.86 A,13.21 A,8.16 A,0.99 pf
07/02/2023 2:00:00 PM,243.30 V,244.27 V,244.56 V,21.37 A,11.07 A,7.77 A,1.00 pf
07/02/2023 2:30:00 PM,242.98 V,244.04 V,244.18 V,23.01 A,10.55 A,7.98 A,1.00 pf
07/02/2023 3:00:00 PM,244.32 V,245.35 V,245.49 V,23.49 A,10.67 A,8.74 A,1.00 pf
07/02/2023 3:30:00 PM,244.66 V,245.73 V,245.74 V,23.64 A,10.10 A,9.04 A,-1.00 pf
07/02/2023 4:00:00 PM,244.66 V,246.02 V,245.90 V,19.80 A,7.68 A,7.59 A,-0.99 pf
