Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
26/02/2023 12:00:00 AM,244.46 V,245.71 V,244.49 V,7.07 A,5.11 A,4.87 A,-0.97 pf
26/02/2023 12:30:00 AM,245.18 V,246.52 V,245.11 V,7.10 A,4.78 A,4.99 A,-0.98 pf
26/02/2023 1:00:00 AM,244.39 V,245.68 V,244.51 V,6.92 A,4.81 A,3.63 A,1.00 pf
26/02/2023 1:30:00 AM,247.65 V,248.94 V,247.65 V,7.10 A,5.50 A,5.32 A,-0.97 pf
26/02/2023 2:00:00 AM,248.30 V,249.39 V,248.13 V,7.13 A,4.84 A,4.69 A,-0.97 pf
26/02/2023 2:30:00 AM,246.83 V,248.11 V,246.76 V,7.10 A,5.17 A,5.38 A,-0.97 pf
26/02/2023 3:00:00 AM,243.22 V,244.40 V,242.96 V,7.07 A,4.78 A,5.62 A,-0.98 pf
26/02/2023 3:30:00 AM,243.10 V,244.30 V,242.79 V,7.29 A,4.87 A,5.53 A,-0.98 pf
26/02/2023 4:00:00 AM,242.77 V,244.11 V,242.57 V,6.98 A,4.72 A,5.38 A,-0.97 pf
26/02/2023 4:30:00 AM,242.86 V,243.91 V,242.46 V,6.95 A,4.75 A,6.02 A,-0.98 pf
26/02/2023 5:00:00 AM,243.58 V,244.94 V,243.37 V,6.92 A,4.90 A,4.93 A,-0.97 pf
26/02/2023 5:30:00 AM,243.10 V,244.27 V,242.75 V,6.65 A,4.78 A,5.90 A,-0.98 pf
26/02/2023 6:00:00 AM,242.67 V,243.80 V,242.39 V,6.74 A,4.90 A,5.74 A,-0.98 pf
26/02/2023 6:30:00 AM,242.03 V,243.34 V,241.93 V,6.77 A,4.50 A,4.93 A,-0.98 pf
26/02/2023 7:00:00 AM,242.36 V,243.61 V,242.39 V,6.77 A,4.78 A,3.66 A,-1.00 pf
26/02/2023 7:30:00 AM,243.91 V,245.07 V,244.16 V,6.44 A,5.38 A,4.84 A,-0.99 pf
26/02/2023 8:00:00 AM,244.06 V,245.21 V,244.92 V,6.92 A,4.93 A,5.71 A,-0.98 pf
26/02/2023 8:30:00 AM,243.24 V,243.87 V,244.15 V,6.95 A,5.17 A,7.01 A,-0.98 pf
26/02/2023 9:00:00 AM,243.70 V,244.56 V,244.94 V,7.38 A,5.02 A,5.96 A,-0.98 pf
26/02/2023 9:30:00 AM,244.46 V,245.18 V,245.52 V,7.41 A,5.26 A,6.20 A,-0.98 pf
26/02/2023 10:00:00 AM,243.27 V,244.06 V,244.39 V,7.41 A,4.96 A,6.26 A,-0.98 pf
26/02/2023 10:30:00 AM,242.77 V,243.48 V,243.89 V,7.65 A,5.77 A,6.65 A,-0.98 pf
26/02/2023 11:00:00 AM,242.31 V,242.89 V,243.30 V,8.10 A,5.59 A,7.26 A,-0.98 pf
26/02/2023 11:30:00 AM,241.95 V,242.79 V,243.13 V,8.59 A,5.32 A,7.50 A,-0.99 pf
26/02/2023 12:00:00 PM,242.05 V,242.74 V,243.13 V,8.89 A,5.53 A,6.98 A,-0.98 pf
26/02/2023 12:30:00 PM,241.86 V,242.89 V,243.13 V,8.74 A,5.20 A,7.59 A,-0.99 pf
26/02/2023 1:00:00 PM,242.03 V,242.82 V,243.18 V,8.68 A,5.08 A,6.71 A,-0.99 pf
26/02/2023 1:30:00 PM,242.46 V,242.98 V,243.53 V,7.86 A,5.38 A,5.47 A,-0.99 pf
26/02/2023 2:00:00 PM,242.50 V,243.15 V,243.32 V,7.50 A,5.02 A,6.32 A,-0.99 pf
26/02/2023 2:30:00 PM,242.70 V,243.34 V,243.53 V,7.44 A,5.20 A,5.87 A,-0.98 pf
26/02/2023 3:00:00 PM,242.74 V,243.42 V,243.61 V,7.44 A,5.14 A,5.96 A,-0.99 pf
