Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
01/02/2023 12:00:00 AM,245.90 V,246.71 V,245.68 V,7.04 A,4.87 A,5.90 A,-0.98 pf
01/02/2023 12:30:00 AM,244.92 V,245.86 V,244.82 V,7.04 A,4.60 A,4.93 A,-0.98 pf
01/02/2023 1:00:00 AM,243.53 V,244.51 V,243.34 V,6.74 A,4.63 A,5.47 A,-0.99 pf
01/02/2023 1:30:00 AM,243.39 V,244.22 V,243.10 V,6.62 A,4.84 A,5.44 A,-0.98 pf
01/02/2023 2:00:00 AM,243.68 V,244.71 V,243.48 V,6.83 A,4.75 A,5.65 A,-0.98 pf
01/02/2023 2:30:00 AM,243.05 V,243.97 V,242.82 V,6.53 A,4.60 A,5.41 A,-0.98 pf
01/02/2023 3:00:00 AM,242.75 V,243.60 V,242.60 V,6.65 A,4.69 A,4.20 A,-0.99 pf
01/02/2023 3:30:00 AM,243.20 V,244.20 V,242.91 V,6.62 A,4.57 A,5.17 A,-0.98 pf
01/02/2023 4:00:00 AM,243.18 V,244.22 V,242.81 V,6.59 A,4.60 A,6.11 A,-0.98 pf
01/02/2023 4:30:00 AM,242.62 V,243.65 V,242.31 V,6.80 A,4.41 A,5.77 A,-0.98 pf
01/02/2023 5:00:00 AM,242.74 V,243.73 V,242.41 V,6.68 A,4.66 A,6.29 A,-0.98 pf
01/02/2023 5:30:00 AM,244.73 V,245.73 V,244.46 V,6.56 A,4.53 A,5.53 A,-0.97 pf
01/02/2023 6:00:00 AM,247.70 V,248.80 V,247.53 V,6.92 A,4.66 A,5.83 A,-0.96 pf
01/02/2023 6:30:00 AM,248.34 V,249.54 V,248.15 V,6.53 A,4.50 A,5.80 A,-0.96 pf
01/02/2023 7:00:00 AM,247.79 V,248.94 V,247.68 V,6.44 A,4.53 A,5.71 A,-0.97 pf
01/02/2023 7:30:00 AM,246.93 V,248.11 V,247.32 V,11.88 A,11.25 A,6.68 A,-0.99 pf
01/02/2023 8:00:00 AM,246.48 V,247.22 V,247.10 V,13.57 A,14.24 A,12.49 A,-0.99 pf
01/02/2023 8:30:00 AM,244.83 V,245.38 V,245.61 V,13.09 A,12.61 A,9.34 A,-1.00 pf
01/02/2023 9:00:00 AM,244.09 V,244.35 V,245.16 V,12.73 A,13.21 A,7.98 A,0.99 pf
01/02/2023 9:30:00 AM,244.34 V,244.64 V,245.59 V,14.51 A,13.30 A,8.74 A,1.00 pf
01/02/2023 10:00:00 AM,245.21 V,245.64 V,246.43 V,14.81 A,12.67 A,9.70 A,-0.99 pf
01/02/2023 10:30:00 AM,244.34 V,244.82 V,245.55 V,14.54 A,13.06 A,9.83 A,-0.99 pf
01/02/2023 11:00:00 AM,245.42 V,246.02 V,246.59 V,15.00 A,12.03 A,10.07 A,-0.99 pf
01/02/2023 11:30:00 AM,246.07 V,246.64 V,247.22 V,15.36 A,10.73 A,10.37 A,-0.99 pf
01/02/2023 12:00:00 PM,244.76 V,245.23 V,245.74 V,15.63 A,10.28 A,14.57 A,-1.00 pf
01/02/2023 12:30:00 PM,241.59 V,242.27 V,242.84 V,16.51 A,10.85 A,12.82 A,1.00 pf
01/02/2023 1:00:00 PM,240.80 V,241.29 V,241.98 V,16.96 A,10.79 A,12.85 A,1.00 pf
01/02/2023 1:30:00 PM,239.89 V,240.25 V,241.09 V,16.96 A,11.07 A,12.09 A,1.00 pf
01/02/2023 2:00:00 PM,240.01 V,240.01 V,241.04 V,16.96 A,17.44 A,16.27 A,0.99 pf
01/02/2023 2:30:00 PM,241.16 V,241.11 V,242.00 V,16.33 A,16.78 A,17.32 A,0.99 pf
01/02/2023 3:00:00 PM,241.52 V,241.66 V,242.60 V,16.30 A,15.45 A,16.87 A,0.99 pf
01/02/2023 3:30:00 PM,241.36 V,241.86 V,242.81 V,16.99 A,15.75 A,15.00 A,0.99 pf
01/02/2023 4:00:00 PM,241.12 V,241.79 V,242.53 V,15.90 A,15.09 A,13.54 A,1.00 pf
01/02/2023 4:30:00 PM,241.42 V,242.19 V,242.94 V,14.51 A,12.15 A,10.10 A,-1.00 pf
01/02/2023 5:00:00 PM,242.57 V,243.49 V,244.15 V,11.97 A,7.04 A,7.92 A,-0.99 pf
01/02/2023 5:30:00 PM,241.40 V,242.21 V,242.86 V,11.40 A,6.59 A,7.35 A,-0.99 pf
01/02/2023 6:00:00 PM,241.76 V,242.62 V,243.12 V,11.10 A,6.38 A,6.92 A,-0.99 pf
01/02/2023 6:30:00 PM,241.47 V,242.46 V,242.39 V,8.47 A,5.35 A,6.35 A,-0.99 pf
01/02/2023 7:00:00 PM,245.16 V,246.50 V,245.66 V,7.26 A,5.20 A,6.05 A,-0.99 pf
01/02/2023 7:30:00 PM,242.53 V,243.70 V,242.77 V,7.17 A,5.32 A,5.77 A,-0.99 pf
01/02/2023 8:00:00 PM,242.41 V,243.58 V,242.57 V,6.89 A,5.20 A,5.62 A,-0.98 pf
01/02/2023 8:30:00 PM,242.94 V,243.85 V,243.00 V,7.04 A,5.14 A,5.47 A,-0.98 pf
01/02/2023 9:00:00 PM,243.32 V,243.99 V,243.46 V,6.89 A,5.29 A,5.17 A,-0.98 pf
01/02/2023 9:30:00 PM,242.53 V,243.17 V,242.77 V,6.89 A,5.02 A,3.84 A,-1.00 pf
01/02/2023 10:00:00 PM,243.58 V,244.25 V,243.55 V,6.89 A,4.99 A,5.26 A,-0.98 pf
01/02/2023 10:30:00 PM,243.12 V,243.84 V,243.00 V,6.89 A,4.90 A,5.77 A,-0.98 pf
