Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
16/02/2023 12:00:00 AM,243.27 V,244.34 V,243.22 V,7.89 A,4.78 A,6.44 A,-0.98 pf
16/02/2023 12:30:00 AM,243.63 V,244.71 V,243.72 V,7.86 A,4.44 A,4.87 A,-0.99 pf
16/02/2023 1:00:00 AM,244.03 V,245.28 V,244.04 V,7.83 A,4.53 A,5.90 A,-0.99 pf
16/02/2023 1:30:00 AM,244.82 V,246.05 V,244.83 V,7.80 A,5.11 A,5.93 A,-0.98 pf
16/02/2023 2:00:00 AM,244.28 V,245.55 V,244.30 V,7.68 A,4.66 A,5.87 A,-0.98 pf
16/02/2023 2:30:00 AM,244.18 V,245.45 V,244.13 V,7.68 A,4.81 A,5.87 A,-0.98 pf
16/02/2023 3:00:00 AM,244.54 V,245.62 V,244.34 V,7.68 A,4.66 A,5.90 A,-0.98 pf
16/02/2023 3:30:00 AM,244.85 V,246.12 V,244.78 V,7.65 A,4.69 A,4.78 A,-0.98 pf
16/02/2023 4:00:00 AM,244.73 V,246.00 V,244.61 V,7.62 A,4.53 A,5.93 A,-0.98 pf
16/02/2023 4:30:00 AM,244.87 V,245.97 V,244.58 V,7.56 A,4.57 A,5.87 A,-0.98 pf
16/02/2023 5:00:00 AM,244.95 V,246.19 V,244.90 V,7.53 A,4.69 A,4.90 A,-0.98 pf
16/02/2023 5:30:00 AM,244.51 V,245.59 V,244.27 V,7.44 A,3.57 A,5.68 A,-0.98 pf
16/02/2023 6:00:00 AM,244.15 V,245.25 V,243.99 V,7.32 A,3.84 A,5.32 A,-0.98 pf
16/02/2023 6:30:00 AM,243.60 V,244.75 V,243.67 V,7.23 A,4.44 A,4.38 A,-0.99 pf
16/02/2023 7:00:00 AM,243.46 V,244.58 V,243.46 V,6.98 A,4.35 A,5.35 A,-0.99 pf
16/02/2023 7:30:00 AM,243.92 V,244.73 V,244.49 V,7.13 A,4.93 A,5.68 A,-0.98 pf
16/02/2023 8:00:00 AM,242.38 V,243.08 V,243.32 V,13.79 A,13.21 A,15.81 A,-1.00 pf
16/02/2023 8:30:00 AM,240.80 V,241.28 V,241.54 V,16.48 A,13.76 A,20.41 A,-0.98 pf
16/02/2023 9:00:00 AM,240.59 V,240.97 V,241.11 V,17.02 A,11.52 A,21.22 A,-0.99 pf
16/02/2023 9:30:00 AM,240.30 V,240.61 V,240.78 V,17.29 A,11.31 A,20.65 A,-0.99 pf
16/02/2023 10:00:00 AM,241.36 V,241.60 V,241.81 V,17.02 A,11.31 A,21.34 A,-0.99 pf
16/02/2023 10:30:00 AM,239.99 V,240.45 V,240.75 V,18.26 A,11.28 A,20.86 A,-0.99 pf
16/02/2023 11:00:00 AM,240.93 V,241.36 V,241.57 V,18.65 A,12.49 A,22.64 A,-0.99 pf
16/02/2023 11:30:00 AM,241.09 V,241.24 V,241.50 V,18.87 A,12.82 A,22.31 A,-0.99 pf
16/02/2023 12:00:00 PM,241.98 V,242.14 V,242.31 V,18.83 A,12.88 A,22.89 A,-0.99 pf
16/02/2023 12:30:00 PM,242.51 V,242.67 V,242.98 V,18.56 A,12.85 A,22.58 A,-0.99 pf
16/02/2023 1:00:00 PM,241.86 V,242.10 V,242.69 V,18.44 A,12.67 A,21.31 A,-1.00 pf
16/02/2023 1:30:00 PM,239.77 V,240.06 V,240.47 V,20.80 A,13.27 A,23.34 A,-0.99 pf
16/02/2023 2:00:00 PM,240.30 V,240.57 V,240.88 V,20.89 A,12.94 A,23.04 A,-0.99 pf
16/02/2023 2:30:00 PM,240.26 V,240.45 V,240.73 V,20.53 A,13.36 A,23.13 A,-0.99 pf
