Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
10/02/2023 12:00:00 AM,244.08 V,245.43 V,244.18 V,6.95 A,5.05 A,5.47 A,-0.98 pf
10/02/2023 12:30:00 AM,243.79 V,245.11 V,243.79 V,6.95 A,4.81 A,5.38 A,-0.98 pf
10/02/2023 1:00:00 AM,243.85 V,245.23 V,243.89 V,6.92 A,4.78 A,4.81 A,-0.99 pf
10/02/2023 1:30:00 AM,244.16 V,245.45 V,244.11 V,6.95 A,5.38 A,5.65 A,-0.97 pf
10/02/2023 2:00:00 AM,244.76 V,245.92 V,244.49 V,6.95 A,4.87 A,5.99 A,-0.98 pf
10/02/2023 2:30:00 AM,245.42 V,246.62 V,245.40 V,6.95 A,5.17 A,4.96 A,-0.98 pf
10/02/2023 3:00:00 AM,245.26 V,246.43 V,245.16 V,6.89 A,4.84 A,5.35 A,-0.98 pf
10/02/2023 3:30:00 AM,245.59 V,246.84 V,245.37 V,6.83 A,5.05 A,5.74 A,-0.97 pf
10/02/2023 4:00:00 AM,243.67 V,244.83 V,243.36 V,6.80 A,4.87 A,5.56 A,-0.97 pf
10/02/2023 4:30:00 AM,242.08 V,243.34 V,241.88 V,6.80 A,4.87 A,5.71 A,-0.98 pf
10/02/2023 5:00:00 AM,241.98 V,243.06 V,241.72 V,6.80 A,4.75 A,5.41 A,-0.98 pf
10/02/2023 5:30:00 AM,244.16 V,245.16 V,243.89 V,6.38 A,4.75 A,5.35 A,-0.98 pf
10/02/2023 6:00:00 AM,247.58 V,248.56 V,247.36 V,6.89 A,4.96 A,5.53 A,-0.97 pf
10/02/2023 6:30:00 AM,246.59 V,247.58 V,246.36 V,6.65 A,4.81 A,4.96 A,-0.98 pf
10/02/2023 7:00:00 AM,246.83 V,247.70 V,246.53 V,7.74 A,5.99 A,6.14 A,-0.99 pf
10/02/2023 7:30:00 AM,247.32 V,248.05 V,246.83 V,14.24 A,10.94 A,15.06 A,-0.99 pf
10/02/2023 8:00:00 AM,246.59 V,247.68 V,246.60 V,20.26 A,12.85 A,16.60 A,-1.00 pf
10/02/2023 8:30:00 AM,245.68 V,246.57 V,246.19 V,19.29 A,15.33 A,17.60 A,-0.99 pf
10/02/2023 9:00:00 AM,244.87 V,245.47 V,245.64 V,19.56 A,16.05 A,16.48 A,-0.99 pf
10/02/2023 9:30:00 AM,243.25 V,243.75 V,244.04 V,18.11 A,15.45 A,15.15 A,0.99 pf
10/02/2023 10:00:00 AM,243.03 V,243.30 V,243.70 V,17.66 A,15.54 A,16.57 A,0.99 pf
10/02/2023 10:30:00 AM,244.80 V,245.06 V,245.50 V,17.32 A,15.51 A,16.33 A,1.00 pf
10/02/2023 11:00:00 AM,244.39 V,244.64 V,245.07 V,17.14 A,15.51 A,16.84 A,1.00 pf
10/02/2023 11:30:00 AM,243.85 V,244.25 V,244.61 V,17.41 A,15.36 A,15.48 A,1.00 pf
10/02/2023 12:00:00 PM,244.49 V,244.78 V,245.23 V,17.78 A,15.63 A,15.78 A,1.00 pf
10/02/2023 12:30:00 PM,243.56 V,243.97 V,244.51 V,18.44 A,16.14 A,16.27 A,0.99 pf
