Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
02/02/2023 12:00:00 AM,245.68 V,246.86 V,245.85 V,6.83 A,5.02 A,5.93 A,-0.97 pf
02/02/2023 12:30:00 AM,247.63 V,248.63 V,247.55 V,6.83 A,4.84 A,6.11 A,-0.97 pf
02/02/2023 1:00:00 AM,244.25 V,245.26 V,244.20 V,6.83 A,5.02 A,6.02 A,-0.98 pf
02/02/2023 1:30:00 AM,243.91 V,244.88 V,243.84 V,6.89 A,5.23 A,4.72 A,-0.98 pf
02/02/2023 2:00:00 AM,243.42 V,244.44 V,243.30 V,6.53 A,5.02 A,5.20 A,-0.98 pf
02/02/2023 2:30:00 AM,242.57 V,243.58 V,242.33 V,6.83 A,4.96 A,5.62 A,-0.98 pf
02/02/2023 3:00:00 AM,243.61 V,244.73 V,243.53 V,6.53 A,4.99 A,5.32 A,-0.98 pf
02/02/2023 3:30:00 AM,243.58 V,244.56 V,243.49 V,6.77 A,4.90 A,4.20 A,-0.99 pf
02/02/2023 4:00:00 AM,243.89 V,244.97 V,243.79 V,6.35 A,4.84 A,4.53 A,-0.99 pf
02/02/2023 4:30:00 AM,242.31 V,243.39 V,242.08 V,6.68 A,4.90 A,4.96 A,-0.98 pf
02/02/2023 5:00:00 AM,243.42 V,244.54 V,243.24 V,6.50 A,4.84 A,5.02 A,-0.98 pf
02/02/2023 5:30:00 AM,247.89 V,248.97 V,247.65 V,6.53 A,4.99 A,6.17 A,-0.97 pf
02/02/2023 6:00:00 AM,247.41 V,248.46 V,247.34 V,6.56 A,4.90 A,6.14 A,-0.97 pf
02/02/2023 6:30:00 AM,247.89 V,248.90 V,247.65 V,6.65 A,4.81 A,6.08 A,-0.97 pf
02/02/2023 7:00:00 AM,244.71 V,245.68 V,244.39 V,6.23 A,4.84 A,5.99 A,-0.98 pf
02/02/2023 7:30:00 AM,244.15 V,245.06 V,244.18 V,7.35 A,5.53 A,6.29 A,-0.98 pf
