Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
25/04/2023 12:00:00 AM,244.94 V,245.95 V,244.88 V,6.56 A,7.32 A,5.26 A,-0.98 pf
25/04/2023 12:30:00 AM,244.73 V,245.62 V,244.59 V,6.32 A,7.32 A,5.29 A,-0.98 pf
25/04/2023 1:00:00 AM,244.83 V,245.85 V,244.71 V,6.50 A,6.74 A,5.23 A,-0.99 pf
25/04/2023 1:30:00 AM,244.82 V,245.69 V,244.64 V,6.32 A,7.44 A,5.29 A,-0.98 pf
25/04/2023 2:00:00 AM,245.38 V,246.36 V,245.31 V,6.50 A,7.44 A,4.38 A,-0.98 pf
25/04/2023 2:30:00 AM,245.98 V,247.08 V,246.10 V,6.32 A,7.23 A,2.99 A,-0.99 pf
25/04/2023 3:00:00 AM,246.22 V,247.29 V,246.10 V,6.50 A,7.26 A,4.75 A,-0.97 pf
25/04/2023 3:30:00 AM,247.00 V,248.06 V,246.76 V,6.35 A,7.17 A,5.35 A,-0.97 pf
25/04/2023 4:00:00 AM,246.88 V,248.01 V,246.67 V,6.53 A,7.17 A,5.11 A,-0.97 pf
25/04/2023 4:30:00 AM,246.59 V,247.70 V,246.43 V,6.32 A,7.23 A,4.93 A,-0.97 pf
25/04/2023 5:00:00 AM,246.74 V,247.93 V,246.62 V,6.50 A,7.10 A,4.32 A,-0.97 pf
25/04/2023 5:30:00 AM,246.22 V,247.56 V,246.28 V,6.08 A,7.17 A,5.20 A,-0.97 pf
25/04/2023 6:00:00 AM,246.47 V,247.51 V,246.29 V,5.83 A,7.01 A,5.11 A,-0.97 pf
25/04/2023 6:30:00 AM,246.19 V,247.34 V,246.00 V,6.11 A,7.17 A,5.17 A,-0.97 pf
25/04/2023 7:00:00 AM,246.07 V,247.08 V,246.50 V,5.99 A,6.20 A,3.90 A,-0.98 pf
25/04/2023 7:30:00 AM,244.95 V,245.71 V,246.21 V,14.30 A,15.42 A,6.68 A,-0.99 pf
25/04/2023 8:00:00 AM,243.17 V,244.11 V,244.49 V,22.25 A,18.87 A,13.15 A,1.00 pf
25/04/2023 8:30:00 AM,242.03 V,243.08 V,243.60 V,21.10 A,16.99 A,12.70 A,0.99 pf
25/04/2023 9:00:00 AM,240.81 V,241.35 V,242.21 V,22.28 A,20.20 A,13.30 A,0.99 pf
25/04/2023 9:30:00 AM,239.37 V,239.78 V,240.78 V,23.43 A,24.10 A,14.69 A,0.99 pf
25/04/2023 10:00:00 AM,239.37 V,239.78 V,240.78 V,23.55 A,23.61 A,15.42 A,0.99 pf
25/04/2023 10:30:00 AM,241.69 V,242.12 V,242.96 V,22.77 A,22.73 A,15.51 A,0.99 pf
25/04/2023 11:00:00 AM,241.54 V,242.24 V,242.86 V,23.37 A,23.67 A,15.93 A,0.99 pf
25/04/2023 11:30:00 AM,241.07 V,241.62 V,242.27 V,24.22 A,24.55 A,16.14 A,0.99 pf
25/04/2023 12:00:00 PM,241.29 V,242.00 V,242.58 V,25.18 A,23.70 A,14.97 A,0.99 pf
25/04/2023 12:30:00 PM,242.27 V,243.12 V,243.70 V,24.67 A,22.83 A,15.15 A,0.99 pf
25/04/2023 1:00:00 PM,241.83 V,242.53 V,243.24 V,25.34 A,22.80 A,15.24 A,0.99 pf
25/04/2023 1:30:00 PM,240.56 V,241.26 V,242.08 V,26.48 A,24.28 A,14.15 A,0.99 pf
25/04/2023 2:00:00 PM,240.44 V,241.09 V,242.14 V,26.18 A,26.18 A,14.51 A,0.99 pf
25/04/2023 2:30:00 PM,239.66 V,240.42 V,241.33 V,27.06 A,24.79 A,14.54 A,0.99 pf
25/04/2023 3:00:00 PM,240.28 V,240.81 V,241.81 V,30.32 A,28.09 A,15.06 A,-1.00 pf
25/04/2023 3:30:00 PM,240.54 V,241.12 V,242.02 V,30.38 A,26.73 A,15.18 A,1.00 pf
25/04/2023 4:00:00 PM,241.47 V,241.91 V,242.74 V,27.60 A,24.43 A,14.97 A,0.99 pf
25/04/2023 4:30:00 PM,241.76 V,242.22 V,242.98 V,25.70 A,24.04 A,13.36 A,0.99 pf
25/04/2023 5:00:00 PM,243.73 V,244.46 V,244.80 V,19.62 A,12.79 A,10.52 A,-1.00 pf
25/04/2023 5:30:00 PM,245.85 V,246.79 V,246.81 V,15.75 A,5.44 A,8.62 A,-0.99 pf
25/04/2023 6:00:00 PM,247.17 V,248.05 V,247.93 V,15.54 A,5.05 A,8.34 A,-0.99 pf
