Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
11/04/2023 12:00:00 AM,245.14 V,246.10 V,244.82 V,7.62 A,5.44 A,6.50 A,-0.98 pf
11/04/2023 12:30:00 AM,244.90 V,245.81 V,244.47 V,7.44 A,5.05 A,6.35 A,-0.98 pf
11/04/2023 1:00:00 AM,244.46 V,245.52 V,244.13 V,7.23 A,4.84 A,6.50 A,-0.99 pf
11/04/2023 1:30:00 AM,243.61 V,244.63 V,243.24 V,6.95 A,4.90 A,6.80 A,-0.97 pf
11/04/2023 2:00:00 AM,243.55 V,244.61 V,243.12 V,7.01 A,4.47 A,6.59 A,-0.98 pf
11/04/2023 2:30:00 AM,243.96 V,245.11 V,243.56 V,6.86 A,4.84 A,6.32 A,-0.98 pf
11/04/2023 3:00:00 AM,244.37 V,245.49 V,243.89 V,6.89 A,4.44 A,6.68 A,-0.98 pf
11/04/2023 3:30:00 AM,244.63 V,245.69 V,244.11 V,6.71 A,4.53 A,6.80 A,-0.97 pf
11/04/2023 4:00:00 AM,244.97 V,245.97 V,244.47 V,6.77 A,4.38 A,6.92 A,-0.97 pf
11/04/2023 4:30:00 AM,245.11 V,246.19 V,244.73 V,6.53 A,4.41 A,6.47 A,-0.98 pf
11/04/2023 5:00:00 AM,244.94 V,245.95 V,244.70 V,6.44 A,4.47 A,5.35 A,-0.98 pf
11/04/2023 5:30:00 AM,244.39 V,245.21 V,244.30 V,6.56 A,4.44 A,5.17 A,-0.99 pf
11/04/2023 6:00:00 AM,244.23 V,245.09 V,244.01 V,6.62 A,4.50 A,6.32 A,-0.98 pf
11/04/2023 6:30:00 AM,244.64 V,245.47 V,244.52 V,6.56 A,4.26 A,6.23 A,-0.98 pf
11/04/2023 7:00:00 AM,244.27 V,245.06 V,244.63 V,6.65 A,4.20 A,4.99 A,-0.98 pf
11/04/2023 7:30:00 AM,244.44 V,244.95 V,245.81 V,14.39 A,16.36 A,6.89 A,-1.00 pf
11/04/2023 8:00:00 AM,241.64 V,242.24 V,243.15 V,17.50 A,17.75 A,8.86 A,0.99 pf
11/04/2023 8:30:00 AM,239.82 V,240.64 V,241.28 V,24.40 A,21.98 A,16.02 A,1.00 pf
11/04/2023 9:00:00 AM,240.20 V,240.93 V,241.66 V,25.40 A,24.04 A,17.87 A,-1.00 pf
11/04/2023 9:30:00 AM,240.20 V,240.64 V,241.47 V,24.64 A,24.76 A,17.63 A,0.99 pf
11/04/2023 10:00:00 AM,240.88 V,241.57 V,242.36 V,25.30 A,26.18 A,18.68 A,0.99 pf
11/04/2023 10:30:00 AM,240.20 V,240.71 V,241.54 V,25.58 A,24.64 A,18.71 A,0.99 pf
11/04/2023 11:00:00 AM,239.35 V,239.73 V,240.76 V,26.06 A,26.21 A,17.93 A,0.99 pf
11/04/2023 11:30:00 AM,239.65 V,239.99 V,241.09 V,27.03 A,26.45 A,17.11 A,0.99 pf
11/04/2023 12:00:00 PM,240.37 V,240.81 V,241.88 V,26.64 A,26.03 A,16.66 A,0.99 pf
11/04/2023 12:30:00 PM,241.35 V,241.83 V,242.91 V,26.00 A,25.21 A,17.05 A,0.99 pf
11/04/2023 1:00:00 PM,240.81 V,241.29 V,242.19 V,26.39 A,25.09 A,18.17 A,0.99 pf
11/04/2023 1:30:00 PM,239.59 V,240.04 V,240.99 V,26.79 A,25.79 A,17.53 A,0.99 pf
11/04/2023 2:00:00 PM,239.10 V,239.27 V,240.06 V,26.48 A,25.85 A,17.38 A,0.99 pf
11/04/2023 2:30:00 PM,238.08 V,238.36 V,239.13 V,27.24 A,25.61 A,18.08 A,0.99 pf
11/04/2023 3:00:00 PM,238.22 V,238.53 V,239.58 V,27.60 A,25.76 A,17.87 A,0.99 pf
11/04/2023 3:30:00 PM,238.75 V,239.06 V,240.02 V,27.84 A,25.34 A,17.69 A,0.99 pf
11/04/2023 4:00:00 PM,238.48 V,238.89 V,239.75 V,28.15 A,24.76 A,17.41 A,0.99 pf
11/04/2023 4:30:00 PM,239.37 V,240.25 V,240.50 V,28.54 A,15.81 A,10.79 A,-1.00 pf
11/04/2023 5:00:00 PM,242.33 V,242.82 V,243.41 V,14.90 A,9.07 A,8.16 A,-0.99 pf
11/04/2023 5:30:00 PM,244.73 V,245.04 V,245.80 V,10.31 A,5.47 A,6.38 A,-0.99 pf
11/04/2023 6:00:00 PM,244.87 V,245.23 V,245.88 V,9.67 A,5.68 A,6.41 A,-0.99 pf
11/04/2023 6:30:00 PM,244.85 V,245.30 V,245.64 V,9.22 A,5.29 A,6.17 A,-0.99 pf
