Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
17/04/2023 12:00:00 AM,243.80 V,244.35 V,243.87 V,8.25 A,11.31 A,5.32 A,-0.99 pf
17/04/2023 12:30:00 AM,244.42 V,245.02 V,244.54 V,7.95 A,11.76 A,5.53 A,-0.99 pf
17/04/2023 1:00:00 AM,245.11 V,245.81 V,245.23 V,7.86 A,10.97 A,5.83 A,-0.99 pf
17/04/2023 1:30:00 AM,245.31 V,245.86 V,245.38 V,7.71 A,11.37 A,5.56 A,-0.99 pf
17/04/2023 2:00:00 AM,243.20 V,243.99 V,243.29 V,7.35 A,10.37 A,5.26 A,-0.99 pf
17/04/2023 2:30:00 AM,243.12 V,243.96 V,243.06 V,7.17 A,8.04 A,5.14 A,-0.99 pf
17/04/2023 3:00:00 AM,242.63 V,243.42 V,242.67 V,7.17 A,8.07 A,4.32 A,-0.99 pf
17/04/2023 3:30:00 AM,242.31 V,242.91 V,242.33 V,6.89 A,10.01 A,4.11 A,-0.99 pf
17/04/2023 4:00:00 AM,242.63 V,243.30 V,242.65 V,6.89 A,9.98 A,5.23 A,-0.99 pf
17/04/2023 4:30:00 AM,242.26 V,242.98 V,242.24 V,7.26 A,10.13 A,5.11 A,-0.99 pf
17/04/2023 5:00:00 AM,242.63 V,243.36 V,242.62 V,6.68 A,9.83 A,4.84 A,-0.99 pf
17/04/2023 5:30:00 AM,242.07 V,243.03 V,242.26 V,6.65 A,8.68 A,4.78 A,-0.99 pf
17/04/2023 6:00:00 AM,242.14 V,242.94 V,242.12 V,6.56 A,7.53 A,4.87 A,-0.99 pf
17/04/2023 6:30:00 AM,242.17 V,243.01 V,242.10 V,6.47 A,7.56 A,5.05 A,-0.99 pf
17/04/2023 7:00:00 AM,241.93 V,242.79 V,242.15 V,6.83 A,7.29 A,5.08 A,-0.99 pf
17/04/2023 7:30:00 AM,241.76 V,242.33 V,243.06 V,17.96 A,20.71 A,6.38 A,1.00 pf
17/04/2023 8:00:00 AM,241.40 V,242.07 V,242.62 V,22.25 A,19.89 A,13.15 A,-0.99 pf
17/04/2023 8:30:00 AM,240.18 V,241.05 V,241.55 V,23.34 A,18.14 A,11.43 A,0.99 pf
17/04/2023 9:00:00 AM,240.97 V,241.84 V,242.57 V,23.49 A,17.96 A,11.58 A,0.99 pf
17/04/2023 9:30:00 AM,243.77 V,244.56 V,245.61 V,23.79 A,18.02 A,10.79 A,0.99 pf
17/04/2023 10:00:00 AM,242.48 V,243.15 V,244.18 V,25.03 A,21.50 A,12.94 A,0.99 pf
17/04/2023 10:30:00 AM,241.59 V,242.14 V,243.27 V,25.67 A,22.55 A,12.91 A,0.99 pf
17/04/2023 11:00:00 AM,243.68 V,244.25 V,245.23 V,25.94 A,23.34 A,13.94 A,0.99 pf
17/04/2023 11:30:00 AM,244.42 V,244.95 V,245.81 V,25.52 A,23.70 A,14.66 A,0.99 pf
17/04/2023 12:00:00 PM,244.68 V,245.35 V,246.10 V,26.64 A,23.16 A,13.73 A,0.99 pf
17/04/2023 12:30:00 PM,242.50 V,243.22 V,244.06 V,27.03 A,23.70 A,13.00 A,0.99 pf
17/04/2023 1:00:00 PM,242.31 V,243.00 V,243.84 V,26.51 A,22.67 A,13.67 A,0.99 pf
17/04/2023 1:30:00 PM,240.18 V,240.71 V,241.78 V,26.88 A,24.25 A,13.42 A,0.99 pf
