Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
08/04/2023 12:00:00 AM,242.81 V,244.01 V,242.69 V,6.89 A,4.38 A,5.90 A,-0.97 pf
08/04/2023 12:30:00 AM,242.72 V,243.97 V,242.69 V,7.01 A,4.32 A,4.99 A,-0.98 pf
08/04/2023 1:00:00 AM,242.51 V,243.80 V,242.48 V,6.71 A,4.41 A,5.74 A,-0.98 pf
08/04/2023 1:30:00 AM,242.55 V,243.84 V,242.48 V,6.83 A,4.78 A,5.90 A,-0.97 pf
08/04/2023 2:00:00 AM,241.95 V,243.36 V,242.00 V,6.62 A,4.38 A,4.81 A,-0.97 pf
08/04/2023 2:30:00 AM,242.62 V,243.97 V,242.58 V,6.41 A,4.53 A,5.29 A,-0.97 pf
08/04/2023 3:00:00 AM,242.74 V,244.01 V,242.70 V,6.17 A,4.05 A,4.02 A,-0.98 pf
08/04/2023 3:30:00 AM,242.91 V,243.91 V,242.69 V,6.26 A,4.47 A,4.20 A,-0.99 pf
08/04/2023 4:00:00 AM,243.60 V,244.71 V,243.32 V,6.29 A,4.14 A,4.20 A,-0.97 pf
08/04/2023 4:30:00 AM,242.82 V,243.99 V,242.50 V,6.20 A,4.32 A,5.80 A,-0.97 pf
08/04/2023 5:00:00 AM,242.86 V,244.03 V,242.62 V,6.14 A,3.99 A,4.72 A,-0.96 pf
08/04/2023 5:30:00 AM,242.22 V,243.65 V,242.19 V,6.17 A,4.29 A,5.90 A,-0.97 pf
08/04/2023 6:00:00 AM,242.31 V,243.77 V,242.43 V,6.14 A,4.11 A,4.81 A,-0.96 pf
08/04/2023 6:30:00 AM,242.17 V,243.72 V,242.24 V,6.08 A,3.81 A,5.80 A,-0.97 pf
08/04/2023 7:00:00 AM,242.08 V,243.53 V,242.34 V,6.20 A,3.90 A,5.50 A,-0.97 pf
08/04/2023 7:30:00 AM,243.25 V,244.49 V,244.37 V,6.20 A,4.60 A,4.20 A,-0.97 pf
08/04/2023 8:00:00 AM,242.62 V,243.55 V,243.61 V,6.23 A,3.93 A,5.11 A,-0.97 pf
08/04/2023 8:30:00 AM,242.31 V,243.30 V,243.55 V,6.56 A,3.90 A,5.53 A,-0.97 pf
08/04/2023 9:00:00 AM,240.32 V,241.31 V,241.72 V,7.13 A,3.99 A,5.44 A,-0.98 pf
08/04/2023 9:30:00 AM,242.82 V,243.67 V,244.32 V,7.56 A,5.65 A,4.63 A,-0.99 pf
08/04/2023 10:00:00 AM,243.34 V,243.96 V,244.37 V,7.65 A,5.11 A,6.74 A,-0.98 pf
08/04/2023 10:30:00 AM,242.29 V,242.89 V,243.36 V,7.89 A,5.50 A,7.23 A,-0.98 pf
08/04/2023 11:00:00 AM,240.49 V,241.29 V,241.81 V,7.95 A,5.17 A,6.98 A,-0.98 pf
08/04/2023 11:30:00 AM,240.81 V,241.47 V,241.96 V,8.22 A,5.80 A,7.10 A,-0.98 pf
