Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
23/12/2022 12:00:00 AM,243.30 V,244.71 V,243.10 V,7.01 A,4.81 A,4.99 A,-0.98 pf
23/12/2022 12:30:00 AM,241.90 V,243.32 V,241.66 V,6.92 A,4.05 A,5.05 A,-0.99 pf
23/12/2022 1:00:00 AM,242.50 V,243.85 V,242.41 V,6.80 A,5.23 A,3.42 A,-0.99 pf
23/12/2022 1:30:00 AM,243.49 V,244.94 V,243.41 V,6.89 A,4.75 A,3.69 A,-0.99 pf
23/12/2022 2:00:00 AM,246.24 V,247.63 V,246.00 V,6.56 A,4.87 A,5.05 A,-0.97 pf
23/12/2022 2:30:00 AM,245.71 V,247.26 V,245.54 V,6.77 A,4.63 A,4.99 A,-0.98 pf
23/12/2022 3:00:00 AM,245.52 V,247.07 V,245.45 V,6.59 A,4.69 A,4.11 A,-0.97 pf
23/12/2022 3:30:00 AM,245.98 V,247.51 V,245.74 V,6.68 A,4.63 A,5.11 A,-0.97 pf
23/12/2022 4:00:00 AM,245.69 V,247.20 V,245.49 V,6.71 A,4.66 A,5.02 A,-0.97 pf
23/12/2022 4:30:00 AM,246.31 V,247.86 V,246.12 V,6.59 A,4.66 A,4.26 A,-0.97 pf
23/12/2022 5:00:00 AM,246.04 V,247.67 V,245.86 V,6.89 A,4.60 A,4.87 A,-0.97 pf
23/12/2022 5:30:00 AM,245.66 V,247.29 V,245.50 V,6.56 A,4.81 A,5.11 A,-0.97 pf
23/12/2022 6:00:00 AM,246.95 V,248.60 V,246.84 V,6.77 A,4.47 A,5.11 A,-0.97 pf
23/12/2022 6:30:00 AM,247.79 V,249.25 V,247.55 V,7.01 A,3.99 A,4.26 A,-0.97 pf
23/12/2022 7:00:00 AM,247.79 V,248.92 V,247.39 V,6.74 A,5.20 A,4.63 A,-0.97 pf
23/12/2022 7:30:00 AM,247.03 V,248.23 V,246.91 V,6.92 A,4.84 A,3.81 A,-0.99 pf
23/12/2022 8:00:00 AM,245.62 V,247.27 V,245.61 V,6.74 A,4.47 A,5.77 A,-0.97 pf
23/12/2022 8:30:00 AM,245.16 V,246.81 V,245.25 V,6.50 A,4.38 A,5.35 A,-0.98 pf
23/12/2022 9:00:00 AM,243.75 V,245.14 V,243.85 V,6.44 A,4.81 A,5.14 A,-0.98 pf
23/12/2022 9:30:00 AM,244.11 V,245.42 V,244.04 V,6.89 A,4.63 A,5.62 A,-0.98 pf
23/12/2022 10:00:00 AM,243.80 V,244.83 V,243.84 V,6.77 A,4.72 A,5.90 A,-0.98 pf
23/12/2022 10:30:00 AM,244.70 V,245.95 V,244.83 V,6.74 A,4.57 A,5.38 A,-0.98 pf
23/12/2022 11:00:00 AM,244.54 V,245.93 V,244.94 V,6.77 A,4.66 A,5.38 A,-0.97 pf
23/12/2022 11:30:00 AM,244.68 V,246.16 V,245.23 V,6.38 A,4.53 A,5.35 A,-0.97 pf
23/12/2022 12:00:00 PM,245.47 V,246.89 V,246.14 V,6.29 A,4.57 A,5.44 A,-0.97 pf
23/12/2022 12:30:00 PM,246.16 V,247.70 V,247.38 V,6.17 A,4.05 A,5.08 A,-0.98 pf
23/12/2022 1:00:00 PM,245.97 V,247.39 V,247.24 V,6.08 A,4.87 A,4.78 A,-0.96 pf
23/12/2022 1:30:00 PM,245.35 V,246.71 V,246.72 V,6.05 A,4.50 A,3.72 A,-0.99 pf
23/12/2022 2:00:00 PM,245.35 V,246.33 V,246.38 V,5.99 A,4.90 A,4.99 A,-0.98 pf
23/12/2022 2:30:00 PM,245.50 V,246.45 V,246.21 V,5.99 A,4.38 A,5.23 A,-0.97 pf
23/12/2022 3:00:00 PM,245.50 V,246.40 V,246.14 V,5.99 A,4.75 A,4.63 A,-0.96 pf
23/12/2022 3:30:00 PM,245.57 V,246.41 V,246.17 V,5.90 A,4.32 A,5.26 A,-0.97 pf
23/12/2022 4:00:00 PM,245.78 V,246.59 V,246.38 V,5.99 A,4.60 A,5.47 A,-0.97 pf
23/12/2022 4:30:00 PM,246.41 V,247.36 V,247.03 V,5.99 A,4.44 A,5.38 A,-0.97 pf
23/12/2022 5:00:00 PM,247.22 V,248.42 V,248.06 V,6.02 A,4.60 A,5.26 A,-0.96 pf
23/12/2022 5:30:00 PM,247.46 V,248.61 V,248.48 V,5.80 A,4.50 A,4.69 A,-0.96 pf
23/12/2022 6:00:00 PM,247.34 V,248.61 V,248.32 V,5.93 A,4.50 A,5.35 A,-0.96 pf
23/12/2022 6:30:00 PM,246.43 V,247.79 V,246.86 V,5.96 A,3.81 A,5.53 A,-0.97 pf
23/12/2022 7:00:00 PM,245.30 V,246.79 V,245.49 V,5.93 A,5.11 A,5.35 A,-0.97 pf
23/12/2022 7:30:00 PM,245.93 V,247.48 V,246.21 V,5.80 A,4.63 A,3.33 A,-0.99 pf
23/12/2022 8:00:00 PM,246.89 V,248.37 V,247.19 V,5.80 A,4.87 A,4.08 A,-0.98 pf
23/12/2022 8:30:00 PM,247.26 V,248.82 V,247.46 V,5.90 A,4.57 A,4.11 A,-0.97 pf
23/12/2022 9:00:00 PM,248.08 V,249.57 V,248.22 V,5.87 A,4.75 A,5.08 A,-0.96 pf
23/12/2022 9:30:00 PM,248.27 V,249.63 V,248.32 V,5.93 A,4.50 A,4.44 A,-0.96 pf
23/12/2022 10:00:00 PM,246.53 V,248.08 V,246.62 V,5.77 A,4.53 A,4.66 A,-0.96 pf
23/12/2022 10:30:00 PM,243.87 V,245.31 V,243.87 V,5.90 A,4.57 A,4.87 A,-0.97 pf
23/12/2022 11:00:00 PM,242.48 V,243.85 V,242.48 V,5.74 A,4.38 A,4.08 A,-0.97 pf
23/12/2022 11:30:00 PM,245.14 V,246.59 V,245.21 V,5.59 A,4.50 A,4.84 A,-0.96 pf
