Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
24/12/2022 12:00:00 AM,248.25 V,249.81 V,248.42 V,5.68 A,4.57 A,4.23 A,-0.96 pf
24/12/2022 12:30:00 AM,247.31 V,248.96 V,247.41 V,5.65 A,3.96 A,5.02 A,-0.97 pf
24/12/2022 1:00:00 AM,247.82 V,249.37 V,247.94 V,5.47 A,5.05 A,4.11 A,-0.96 pf
24/12/2022 1:30:00 AM,247.68 V,249.30 V,247.79 V,5.83 A,4.53 A,4.38 A,-0.97 pf
24/12/2022 2:00:00 AM,248.27 V,249.88 V,248.51 V,5.38 A,4.72 A,2.48 A,-0.99 pf
24/12/2022 2:30:00 AM,248.35 V,250.07 V,248.42 V,5.77 A,4.47 A,5.05 A,-0.96 pf
24/12/2022 3:00:00 AM,248.84 V,250.52 V,248.92 V,5.65 A,4.63 A,4.14 A,-0.94 pf
24/12/2022 3:30:00 AM,248.94 V,250.61 V,248.89 V,5.38 A,4.35 A,4.96 A,-0.96 pf
24/12/2022 4:00:00 AM,248.82 V,250.47 V,248.84 V,5.65 A,4.41 A,4.14 A,-0.94 pf
24/12/2022 4:30:00 AM,248.06 V,249.75 V,247.99 V,5.47 A,3.60 A,4.99 A,-0.94 pf
24/12/2022 5:00:00 AM,244.92 V,246.65 V,244.88 V,5.56 A,3.66 A,4.02 A,-0.96 pf
24/12/2022 5:30:00 AM,244.76 V,246.33 V,244.66 V,5.38 A,3.66 A,4.90 A,-0.96 pf
24/12/2022 6:00:00 AM,244.37 V,245.85 V,244.13 V,5.62 A,3.57 A,3.99 A,-0.96 pf
24/12/2022 6:30:00 AM,244.78 V,246.17 V,244.35 V,5.29 A,2.87 A,4.87 A,-0.97 pf
24/12/2022 7:00:00 AM,245.16 V,246.45 V,244.88 V,5.44 A,4.11 A,4.29 A,-0.96 pf
24/12/2022 7:30:00 AM,246.40 V,247.87 V,246.76 V,5.47 A,3.69 A,5.05 A,-0.96 pf
24/12/2022 8:00:00 AM,245.21 V,246.71 V,245.90 V,5.47 A,3.84 A,3.75 A,-0.99 pf
24/12/2022 8:30:00 AM,243.17 V,244.37 V,243.87 V,5.59 A,3.54 A,4.17 A,-0.98 pf
24/12/2022 9:00:00 AM,242.60 V,243.48 V,243.42 V,5.68 A,3.63 A,4.87 A,-0.96 pf
24/12/2022 9:30:00 AM,241.54 V,242.36 V,242.36 V,5.65 A,3.45 A,5.29 A,-0.97 pf
