Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
11/12/2022 12:00:00 AM,242.86 V,244.13 V,242.74 V,7.07 A,4.93 A,4.69 A,-0.98 pf
11/12/2022 12:30:00 AM,244.16 V,245.64 V,244.11 V,7.07 A,4.08 A,4.50 A,-0.99 pf
11/12/2022 1:00:00 AM,245.43 V,246.88 V,245.49 V,7.07 A,5.29 A,5.14 A,-0.98 pf
11/12/2022 1:30:00 AM,246.55 V,247.82 V,246.41 V,7.07 A,4.90 A,4.99 A,-0.97 pf
11/12/2022 2:00:00 AM,248.94 V,250.43 V,248.89 V,7.17 A,4.81 A,5.26 A,-0.97 pf
11/12/2022 2:30:00 AM,247.75 V,249.30 V,247.75 V,7.10 A,4.78 A,5.08 A,-0.97 pf
11/12/2022 3:00:00 AM,248.48 V,249.80 V,248.25 V,7.10 A,4.72 A,5.17 A,-0.97 pf
11/12/2022 3:30:00 AM,248.42 V,249.99 V,248.35 V,7.10 A,4.60 A,4.50 A,-0.97 pf
11/12/2022 4:00:00 AM,248.25 V,249.71 V,248.03 V,6.74 A,4.69 A,5.05 A,-0.97 pf
11/12/2022 4:30:00 AM,244.39 V,245.71 V,244.03 V,6.89 A,4.41 A,4.81 A,-0.98 pf
11/12/2022 5:00:00 AM,242.53 V,244.03 V,242.38 V,6.92 A,4.66 A,4.84 A,-0.98 pf
11/12/2022 5:30:00 AM,242.72 V,244.20 V,242.65 V,6.50 A,4.44 A,3.42 A,-0.99 pf
11/12/2022 6:00:00 AM,242.91 V,244.16 V,242.65 V,6.86 A,4.81 A,4.05 A,-0.99 pf
11/12/2022 6:30:00 AM,242.29 V,244.08 V,242.34 V,6.62 A,3.84 A,4.41 A,-0.99 pf
11/12/2022 7:00:00 AM,242.57 V,243.94 V,242.55 V,6.77 A,4.63 A,4.60 A,-0.98 pf
11/12/2022 7:30:00 AM,242.84 V,243.96 V,243.48 V,6.53 A,4.29 A,5.14 A,-0.98 pf
11/12/2022 8:00:00 AM,242.22 V,243.41 V,243.32 V,6.89 A,4.17 A,5.96 A,-0.98 pf
11/12/2022 8:30:00 AM,243.67 V,244.56 V,244.71 V,7.04 A,4.84 A,6.23 A,-0.99 pf
11/12/2022 9:00:00 AM,244.30 V,245.11 V,245.33 V,7.65 A,5.56 A,7.23 A,-0.98 pf
11/12/2022 9:30:00 AM,244.40 V,245.31 V,245.45 V,8.80 A,5.38 A,7.62 A,-0.99 pf
11/12/2022 10:00:00 AM,243.56 V,244.61 V,244.80 V,8.19 A,5.62 A,7.77 A,-0.99 pf
11/12/2022 10:30:00 AM,243.18 V,244.25 V,244.42 V,8.10 A,5.44 A,6.98 A,-0.99 pf
11/12/2022 11:00:00 AM,242.89 V,243.75 V,243.84 V,8.65 A,5.62 A,7.68 A,-0.99 pf
11/12/2022 11:30:00 AM,242.17 V,243.24 V,243.41 V,9.40 A,5.53 A,6.95 A,-0.99 pf
11/12/2022 12:00:00 PM,241.48 V,242.74 V,242.94 V,11.85 A,5.68 A,6.74 A,-1.00 pf
11/12/2022 12:30:00 PM,243.92 V,245.14 V,245.04 V,12.73 A,5.14 A,8.07 A,-0.99 pf
11/12/2022 1:00:00 PM,244.70 V,245.88 V,245.86 V,12.64 A,6.17 A,8.04 A,-0.99 pf
11/12/2022 1:30:00 PM,243.77 V,245.28 V,245.26 V,12.94 A,5.87 A,7.53 A,-0.99 pf
11/12/2022 2:00:00 PM,243.63 V,244.88 V,244.87 V,13.06 A,6.23 A,8.07 A,-0.99 pf
11/12/2022 2:30:00 PM,243.41 V,244.56 V,244.56 V,13.15 A,5.62 A,8.43 A,-0.99 pf
11/12/2022 3:00:00 PM,243.17 V,244.27 V,244.32 V,13.00 A,5.93 A,7.65 A,-0.99 pf
11/12/2022 3:30:00 PM,243.60 V,244.63 V,244.75 V,12.24 A,5.20 A,7.20 A,-0.99 pf
11/12/2022 4:00:00 PM,244.15 V,245.04 V,245.25 V,12.12 A,5.35 A,7.10 A,-0.99 pf
11/12/2022 4:30:00 PM,244.39 V,245.38 V,245.64 V,11.79 A,5.32 A,6.50 A,-0.99 pf
