Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
20/12/2022 12:00:00 AM,246.35 V,247.63 V,246.09 V,7.38 A,5.08 A,6.80 A,-0.97 pf
20/12/2022 12:30:00 AM,243.41 V,244.83 V,243.15 V,6.80 A,4.17 A,6.47 A,-0.99 pf
20/12/2022 1:00:00 AM,244.49 V,245.90 V,244.28 V,6.98 A,5.38 A,6.02 A,-0.97 pf
20/12/2022 1:30:00 AM,244.28 V,245.68 V,244.09 V,7.35 A,4.96 A,6.77 A,-0.98 pf
20/12/2022 2:00:00 AM,244.46 V,245.85 V,244.20 V,6.95 A,5.02 A,6.74 A,-0.98 pf
20/12/2022 2:30:00 AM,245.13 V,246.60 V,244.90 V,6.92 A,4.81 A,6.53 A,-0.98 pf
20/12/2022 3:00:00 AM,243.42 V,244.97 V,243.25 V,7.07 A,4.99 A,5.77 A,-0.98 pf
20/12/2022 3:30:00 AM,243.01 V,244.49 V,242.72 V,6.98 A,4.57 A,5.71 A,-0.98 pf
20/12/2022 4:00:00 AM,243.44 V,244.90 V,243.15 V,6.80 A,4.78 A,5.74 A,-0.98 pf
20/12/2022 4:30:00 AM,243.84 V,245.26 V,243.65 V,6.83 A,4.72 A,5.90 A,-0.98 pf
20/12/2022 5:00:00 AM,243.30 V,244.78 V,243.18 V,7.01 A,4.72 A,5.11 A,-0.99 pf
20/12/2022 5:30:00 AM,243.94 V,245.49 V,244.08 V,6.95 A,4.81 A,3.75 A,-0.99 pf
20/12/2022 6:00:00 AM,244.87 V,246.31 V,244.80 V,6.50 A,4.72 A,5.77 A,-0.98 pf
20/12/2022 6:30:00 AM,245.64 V,247.17 V,245.54 V,6.80 A,4.02 A,5.83 A,-0.99 pf
20/12/2022 7:00:00 AM,247.67 V,248.87 V,247.98 V,6.83 A,5.41 A,4.96 A,-0.97 pf
20/12/2022 7:30:00 AM,245.21 V,246.36 V,246.14 V,6.89 A,4.20 A,5.71 A,-0.97 pf
20/12/2022 8:00:00 AM,242.48 V,243.46 V,243.39 V,10.61 A,8.22 A,8.47 A,-0.99 pf
20/12/2022 8:30:00 AM,241.72 V,242.82 V,242.69 V,18.56 A,15.57 A,12.76 A,-0.99 pf
20/12/2022 9:00:00 AM,239.01 V,240.20 V,240.04 V,22.98 A,13.91 A,13.88 A,-0.99 pf
20/12/2022 9:30:00 AM,240.99 V,242.27 V,242.03 V,25.03 A,14.45 A,14.06 A,-0.99 pf
20/12/2022 10:00:00 AM,240.61 V,242.08 V,241.78 V,27.15 A,14.69 A,13.03 A,-0.99 pf
20/12/2022 10:30:00 AM,239.99 V,241.40 V,241.21 V,28.33 A,15.33 A,13.97 A,-0.99 pf
20/12/2022 11:00:00 AM,238.77 V,240.13 V,239.99 V,29.63 A,19.92 A,15.24 A,-0.99 pf
20/12/2022 11:30:00 AM,239.80 V,240.95 V,241.24 V,26.79 A,23.37 A,12.97 A,-0.99 pf
20/12/2022 12:00:00 PM,241.40 V,242.91 V,242.63 V,28.51 A,17.32 A,13.33 A,-0.99 pf
20/12/2022 12:30:00 PM,242.12 V,243.80 V,243.48 V,28.33 A,16.36 A,14.24 A,-0.99 pf
20/12/2022 1:00:00 PM,241.19 V,242.63 V,242.67 V,28.36 A,17.20 A,13.79 A,-0.99 pf
20/12/2022 1:30:00 PM,239.37 V,240.66 V,240.73 V,29.24 A,16.90 A,12.97 A,-0.99 pf
20/12/2022 2:00:00 PM,239.03 V,240.42 V,240.25 V,30.75 A,15.00 A,13.36 A,-0.99 pf
20/12/2022 2:30:00 PM,238.20 V,239.75 V,239.46 V,30.47 A,14.33 A,13.48 A,-0.99 pf
20/12/2022 3:00:00 PM,239.80 V,241.35 V,241.11 V,30.32 A,14.93 A,12.70 A,-0.99 pf
20/12/2022 3:30:00 PM,240.14 V,241.69 V,241.36 V,30.54 A,13.85 A,13.06 A,-0.99 pf
20/12/2022 4:00:00 PM,240.76 V,242.26 V,241.57 V,28.39 A,13.36 A,12.40 A,-0.99 pf
20/12/2022 4:30:00 PM,240.85 V,242.75 V,241.60 V,27.90 A,12.88 A,11.67 A,-0.99 pf
20/12/2022 5:00:00 PM,239.51 V,241.66 V,240.23 V,24.61 A,10.88 A,9.70 A,-0.99 pf
20/12/2022 5:30:00 PM,241.42 V,243.15 V,241.98 V,19.23 A,8.65 A,7.59 A,-0.99 pf
20/12/2022 6:00:00 PM,242.81 V,244.37 V,243.22 V,11.49 A,4.72 A,5.35 A,-0.99 pf
20/12/2022 6:30:00 PM,242.24 V,243.92 V,242.41 V,11.22 A,3.78 A,6.50 A,-0.99 pf
20/12/2022 7:00:00 PM,241.31 V,243.05 V,241.42 V,11.10 A,4.84 A,6.47 A,-0.99 pf
20/12/2022 7:30:00 PM,241.76 V,243.30 V,241.67 V,9.83 A,4.96 A,6.35 A,-0.99 pf
20/12/2022 8:00:00 PM,242.36 V,243.79 V,242.39 V,8.71 A,5.17 A,6.35 A,-0.98 pf
20/12/2022 8:30:00 PM,243.48 V,244.87 V,243.46 V,8.37 A,5.05 A,6.35 A,-0.99 pf
20/12/2022 9:00:00 PM,243.65 V,244.99 V,243.63 V,7.65 A,5.20 A,5.47 A,-0.99 pf
20/12/2022 9:30:00 PM,244.01 V,245.33 V,243.85 V,7.20 A,4.75 A,5.26 A,-0.99 pf
20/12/2022 10:00:00 PM,244.32 V,245.68 V,244.18 V,7.13 A,4.87 A,6.02 A,-0.98 pf
20/12/2022 10:30:00 PM,244.71 V,246.09 V,244.56 V,6.89 A,4.72 A,5.99 A,-0.98 pf
20/12/2022 11:00:00 PM,244.61 V,245.97 V,244.54 V,6.86 A,4.96 A,4.84 A,-0.98 pf
20/12/2022 11:30:00 PM,244.94 V,246.31 V,244.76 V,7.23 A,4.87 A,5.56 A,-0.99 pf
