Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
25/12/2022 12:00:00 AM,243.44 V,245.19 V,243.36 V,6.53 A,4.41 A,5.35 A,-0.98 pf
25/12/2022 12:30:00 AM,242.98 V,244.76 V,243.00 V,6.74 A,3.99 A,4.87 A,-0.99 pf
25/12/2022 1:00:00 AM,243.17 V,244.75 V,243.18 V,6.59 A,5.08 A,4.75 A,-0.98 pf
25/12/2022 1:30:00 AM,242.08 V,243.67 V,241.98 V,6.50 A,4.66 A,5.32 A,-0.98 pf
25/12/2022 2:00:00 AM,242.07 V,243.75 V,242.02 V,6.50 A,4.87 A,4.90 A,-0.98 pf
25/12/2022 2:30:00 AM,241.84 V,243.51 V,242.00 V,6.29 A,4.66 A,2.63 A,-1.00 pf
25/12/2022 3:00:00 AM,245.80 V,247.50 V,245.71 V,6.29 A,4.60 A,4.57 A,-0.98 pf
25/12/2022 3:30:00 AM,246.41 V,248.11 V,246.28 V,6.38 A,4.57 A,4.69 A,-0.97 pf
25/12/2022 4:00:00 AM,246.52 V,248.22 V,246.41 V,6.17 A,4.47 A,4.50 A,-0.96 pf
25/12/2022 4:30:00 AM,246.41 V,248.10 V,246.28 V,6.11 A,4.50 A,5.08 A,-0.97 pf
25/12/2022 5:00:00 AM,246.22 V,247.96 V,246.21 V,6.05 A,4.47 A,4.14 A,-0.97 pf
25/12/2022 5:30:00 AM,246.12 V,247.86 V,246.02 V,6.02 A,4.57 A,5.08 A,-0.97 pf
25/12/2022 6:00:00 AM,245.71 V,247.50 V,245.68 V,5.93 A,4.35 A,4.53 A,-0.97 pf
25/12/2022 6:30:00 AM,245.93 V,247.81 V,245.85 V,6.05 A,3.96 A,4.90 A,-0.98 pf
25/12/2022 7:00:00 AM,246.09 V,247.75 V,246.07 V,5.96 A,5.14 A,5.47 A,-0.97 pf
25/12/2022 7:30:00 AM,247.19 V,248.90 V,247.89 V,5.90 A,4.57 A,4.44 A,-0.97 pf
25/12/2022 8:00:00 AM,247.36 V,248.80 V,248.39 V,6.14 A,4.78 A,5.93 A,-0.97 pf
25/12/2022 8:30:00 AM,246.62 V,247.81 V,247.79 V,6.65 A,4.75 A,4.75 A,-0.99 pf
25/12/2022 9:00:00 AM,247.38 V,248.42 V,248.51 V,7.01 A,4.99 A,4.75 A,-0.99 pf
25/12/2022 9:30:00 AM,248.56 V,249.59 V,249.54 V,7.35 A,4.96 A,5.87 A,-0.97 pf
25/12/2022 10:00:00 AM,247.43 V,248.70 V,248.63 V,7.13 A,4.81 A,6.35 A,-0.97 pf
25/12/2022 10:30:00 AM,247.05 V,248.32 V,248.30 V,7.20 A,4.99 A,6.26 A,-0.97 pf
25/12/2022 11:00:00 AM,248.29 V,249.73 V,249.45 V,8.22 A,4.99 A,6.56 A,-0.98 pf
25/12/2022 11:30:00 AM,248.34 V,249.76 V,249.63 V,8.68 A,5.32 A,6.50 A,-0.98 pf
25/12/2022 12:00:00 PM,248.58 V,249.73 V,249.45 V,8.92 A,5.11 A,7.38 A,-0.98 pf
25/12/2022 12:30:00 PM,248.27 V,249.64 V,249.33 V,8.86 A,4.81 A,6.95 A,-0.98 pf
25/12/2022 1:00:00 PM,247.81 V,249.14 V,249.04 V,8.77 A,5.44 A,6.68 A,-0.98 pf
25/12/2022 1:30:00 PM,247.53 V,248.92 V,248.73 V,8.98 A,5.44 A,7.20 A,-0.98 pf
25/12/2022 2:00:00 PM,247.94 V,249.14 V,248.96 V,9.58 A,5.53 A,7.35 A,-0.98 pf
25/12/2022 2:30:00 PM,247.93 V,249.13 V,248.99 V,10.37 A,5.26 A,6.41 A,-0.99 pf
25/12/2022 3:00:00 PM,248.03 V,249.13 V,249.14 V,10.34 A,5.29 A,5.29 A,-0.99 pf
25/12/2022 3:30:00 PM,248.08 V,249.06 V,249.02 V,10.25 A,5.20 A,7.71 A,-0.98 pf
25/12/2022 4:00:00 PM,247.89 V,248.87 V,248.90 V,10.25 A,5.02 A,6.86 A,-0.99 pf
25/12/2022 4:30:00 PM,247.41 V,248.56 V,248.49 V,10.25 A,5.11 A,6.71 A,-0.98 pf
25/12/2022 5:00:00 PM,247.43 V,248.80 V,248.68 V,10.19 A,5.02 A,6.98 A,-0.99 pf
25/12/2022 5:30:00 PM,247.12 V,248.63 V,248.42 V,10.10 A,4.99 A,6.47 A,-0.98 pf
25/12/2022 6:00:00 PM,247.00 V,248.61 V,248.25 V,9.77 A,4.93 A,5.93 A,-0.98 pf
25/12/2022 6:30:00 PM,246.38 V,247.98 V,247.19 V,9.07 A,4.26 A,6.62 A,-0.99 pf
25/12/2022 7:00:00 PM,247.84 V,249.56 V,247.94 V,8.34 A,5.26 A,5.99 A,-0.97 pf
25/12/2022 7:30:00 PM,247.27 V,249.01 V,247.29 V,7.65 A,5.14 A,5.74 A,-0.98 pf
25/12/2022 8:00:00 PM,247.77 V,249.39 V,247.55 V,7.53 A,5.11 A,5.50 A,-0.97 pf
25/12/2022 8:30:00 PM,248.10 V,249.80 V,248.08 V,7.38 A,5.17 A,5.50 A,-0.97 pf
25/12/2022 9:00:00 PM,248.17 V,250.00 V,248.41 V,7.26 A,5.05 A,3.66 A,-0.99 pf
25/12/2022 9:30:00 PM,249.32 V,251.10 V,249.28 V,7.89 A,5.32 A,5.11 A,-0.97 pf
25/12/2022 10:00:00 PM,246.19 V,247.75 V,245.86 V,7.50 A,4.69 A,5.35 A,-0.98 pf
25/12/2022 10:30:00 PM,245.14 V,246.60 V,244.70 V,7.47 A,4.99 A,5.35 A,-0.98 pf
25/12/2022 11:00:00 PM,242.62 V,244.30 V,242.45 V,7.04 A,4.57 A,5.17 A,-0.98 pf
25/12/2022 11:30:00 PM,243.39 V,244.90 V,243.06 V,7.01 A,4.90 A,5.29 A,-0.98 pf
