Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
04/06/2023 12:00:00 AM,245.80 V,246.88 V,245.38 V,8.43 A,5.47 A,5.23 A,-0.98 pf
04/06/2023 12:30:00 AM,245.50 V,246.71 V,245.16 V,8.28 A,5.38 A,4.93 A,-0.98 pf
04/06/2023 1:00:00 AM,245.16 V,246.40 V,244.85 V,8.19 A,5.41 A,4.81 A,-0.99 pf
04/06/2023 1:30:00 AM,245.69 V,246.98 V,245.33 V,8.19 A,5.05 A,4.75 A,-0.98 pf
04/06/2023 2:00:00 AM,246.16 V,247.38 V,245.81 V,8.43 A,5.32 A,5.05 A,-0.98 pf
04/06/2023 2:30:00 AM,246.48 V,247.74 V,246.19 V,8.28 A,5.26 A,4.35 A,-0.98 pf
04/06/2023 3:00:00 AM,246.50 V,247.72 V,246.05 V,8.34 A,5.32 A,5.59 A,-0.98 pf
04/06/2023 3:30:00 AM,246.64 V,247.93 V,246.28 V,8.16 A,4.93 A,4.35 A,-0.98 pf
04/06/2023 4:00:00 AM,246.93 V,248.17 V,246.57 V,8.37 A,5.17 A,4.57 A,-0.99 pf
04/06/2023 4:30:00 AM,247.19 V,248.51 V,246.89 V,8.16 A,5.17 A,4.32 A,-0.98 pf
04/06/2023 5:00:00 AM,246.81 V,248.22 V,246.53 V,8.25 A,5.14 A,5.50 A,-0.98 pf
04/06/2023 5:30:00 AM,247.03 V,248.46 V,246.84 V,8.13 A,5.26 A,4.35 A,-0.98 pf
04/06/2023 6:00:00 AM,246.83 V,248.29 V,246.53 V,8.16 A,4.87 A,5.50 A,-0.98 pf
04/06/2023 6:30:00 AM,246.89 V,248.30 V,246.62 V,8.13 A,4.93 A,4.35 A,-0.98 pf
04/06/2023 7:00:00 AM,247.48 V,248.84 V,247.38 V,8.07 A,3.75 A,4.44 A,-0.98 pf
04/06/2023 7:30:00 AM,247.44 V,248.65 V,248.05 V,7.98 A,4.26 A,5.11 A,-0.98 pf
04/06/2023 8:00:00 AM,247.46 V,248.32 V,248.44 V,8.16 A,7.71 A,5.47 A,-0.98 pf
04/06/2023 8:30:00 AM,246.72 V,247.70 V,247.79 V,8.34 A,5.53 A,5.17 A,-0.98 pf
04/06/2023 9:00:00 AM,246.00 V,246.93 V,247.07 V,8.28 A,5.77 A,5.23 A,-0.98 pf
04/06/2023 9:30:00 AM,245.31 V,246.12 V,246.35 V,8.43 A,7.20 A,5.90 A,-0.99 pf
04/06/2023 10:00:00 AM,244.30 V,245.01 V,245.47 V,8.53 A,7.23 A,5.41 A,-0.99 pf
04/06/2023 10:30:00 AM,243.53 V,244.35 V,244.68 V,9.77 A,7.56 A,6.35 A,-0.99 pf
04/06/2023 11:00:00 AM,243.58 V,244.42 V,244.64 V,9.46 A,7.50 A,6.59 A,-0.99 pf
04/06/2023 11:30:00 AM,244.34 V,245.25 V,245.45 V,10.88 A,7.35 A,6.83 A,-0.99 pf
04/06/2023 12:00:00 PM,243.87 V,244.80 V,245.06 V,9.73 A,7.23 A,6.86 A,-0.99 pf
04/06/2023 12:30:00 PM,243.68 V,244.58 V,244.80 V,10.04 A,7.59 A,6.86 A,-0.99 pf
04/06/2023 1:00:00 PM,243.25 V,244.18 V,244.42 V,9.98 A,7.32 A,7.20 A,-0.99 pf
04/06/2023 1:30:00 PM,242.51 V,243.53 V,243.94 V,10.16 A,7.35 A,6.95 A,-0.99 pf
04/06/2023 2:00:00 PM,242.72 V,243.58 V,244.06 V,10.16 A,7.74 A,7.07 A,-0.99 pf
04/06/2023 2:30:00 PM,242.36 V,243.37 V,243.73 V,9.98 A,7.56 A,6.95 A,-0.99 pf
04/06/2023 3:00:00 PM,243.03 V,243.92 V,244.25 V,10.01 A,7.13 A,6.89 A,-0.99 pf
04/06/2023 3:30:00 PM,243.18 V,243.99 V,244.54 V,9.67 A,7.41 A,5.90 A,-0.99 pf
04/06/2023 4:00:00 PM,243.63 V,244.39 V,244.90 V,9.22 A,7.47 A,5.93 A,-0.99 pf
04/06/2023 4:30:00 PM,243.56 V,244.44 V,244.95 V,9.34 A,7.32 A,4.81 A,-0.99 pf
04/06/2023 5:00:00 PM,243.67 V,244.44 V,244.97 V,9.80 A,7.38 A,6.47 A,-0.99 pf
04/06/2023 5:30:00 PM,243.68 V,244.54 V,245.02 V,9.61 A,7.53 A,5.68 A,-0.99 pf
04/06/2023 6:00:00 PM,243.60 V,244.54 V,244.87 V,9.49 A,6.41 A,5.44 A,-0.99 pf
04/06/2023 6:30:00 PM,242.98 V,243.94 V,243.89 V,9.52 A,4.38 A,5.38 A,-0.98 pf
