Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
24/06/2023 12:00:00 AM,246.76 V,247.75 V,247.08 V,10.16 A,7.41 A,6.29 A,-0.99 pf
24/06/2023 12:30:00 AM,246.86 V,247.91 V,247.08 V,9.95 A,7.41 A,6.02 A,-0.99 pf
24/06/2023 1:00:00 AM,247.05 V,248.10 V,247.31 V,9.46 A,7.53 A,5.83 A,-0.99 pf
24/06/2023 1:30:00 AM,247.77 V,248.85 V,247.87 V,9.25 A,6.92 A,6.11 A,-0.99 pf
24/06/2023 2:00:00 AM,247.75 V,248.65 V,247.63 V,9.13 A,6.29 A,6.26 A,-0.98 pf
24/06/2023 2:30:00 AM,248.11 V,249.01 V,247.96 V,9.13 A,5.68 A,5.71 A,-0.98 pf
24/06/2023 3:00:00 AM,247.68 V,248.72 V,247.50 V,9.01 A,5.35 A,5.65 A,-0.98 pf
24/06/2023 3:30:00 AM,247.96 V,248.92 V,247.63 V,8.98 A,5.87 A,5.80 A,-0.98 pf
24/06/2023 4:00:00 AM,248.56 V,249.64 V,248.34 V,8.95 A,5.38 A,5.59 A,-0.98 pf
24/06/2023 4:30:00 AM,248.78 V,249.83 V,248.60 V,8.83 A,5.59 A,5.77 A,-0.98 pf
24/06/2023 5:00:00 AM,246.60 V,247.62 V,246.59 V,8.50 A,5.08 A,4.11 A,-0.99 pf
24/06/2023 5:30:00 AM,243.60 V,244.88 V,243.56 V,8.28 A,5.29 A,5.90 A,-0.98 pf
24/06/2023 6:00:00 AM,243.30 V,244.40 V,243.20 V,8.40 A,5.11 A,5.35 A,-0.99 pf
24/06/2023 6:30:00 AM,243.12 V,244.04 V,242.89 V,8.22 A,5.41 A,5.38 A,-0.99 pf
24/06/2023 7:00:00 AM,243.34 V,244.37 V,243.30 V,8.19 A,5.41 A,5.35 A,-0.99 pf
24/06/2023 7:30:00 AM,244.04 V,244.92 V,244.52 V,8.16 A,5.08 A,5.26 A,-0.99 pf
24/06/2023 8:00:00 AM,243.89 V,244.47 V,244.92 V,8.43 A,7.32 A,5.38 A,-0.99 pf
24/06/2023 8:30:00 AM,241.14 V,241.83 V,242.05 V,9.10 A,6.59 A,6.02 A,-0.99 pf
24/06/2023 9:00:00 AM,240.44 V,241.02 V,241.45 V,9.67 A,7.59 A,5.93 A,-0.99 pf
24/06/2023 9:30:00 AM,241.76 V,242.38 V,242.82 V,9.40 A,7.47 A,5.80 A,-0.99 pf
24/06/2023 10:00:00 AM,241.48 V,242.24 V,242.65 V,10.40 A,7.53 A,6.05 A,-0.99 pf
24/06/2023 10:30:00 AM,241.66 V,242.27 V,242.82 V,11.13 A,7.38 A,6.65 A,-0.99 pf
24/06/2023 11:00:00 AM,240.76 V,241.60 V,242.15 V,12.03 A,7.04 A,7.07 A,-1.00 pf
24/06/2023 11:30:00 AM,240.83 V,241.55 V,241.98 V,12.06 A,7.32 A,6.47 A,-0.99 pf
24/06/2023 12:00:00 PM,241.64 V,242.55 V,242.98 V,14.69 A,7.01 A,7.83 A,-0.99 pf
24/06/2023 12:30:00 PM,242.94 V,243.79 V,244.47 V,14.84 A,7.80 A,7.62 A,-0.99 pf
24/06/2023 1:00:00 PM,242.67 V,243.44 V,244.18 V,14.60 A,7.20 A,7.01 A,-0.99 pf
24/06/2023 1:30:00 PM,242.05 V,242.81 V,243.55 V,15.18 A,6.77 A,6.89 A,-0.99 pf
24/06/2023 2:00:00 PM,241.90 V,242.62 V,243.29 V,15.33 A,7.38 A,7.38 A,-0.99 pf
24/06/2023 2:30:00 PM,241.48 V,242.41 V,242.91 V,14.30 A,7.38 A,8.80 A,-0.99 pf
