Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
17/06/2023 12:00:00 AM,248.17 V,249.16 V,248.25 V,8.65 A,5.93 A,5.17 A,-0.98 pf
17/06/2023 12:30:00 AM,247.89 V,248.97 V,248.15 V,8.40 A,5.11 A,4.20 A,-0.99 pf
17/06/2023 1:00:00 AM,248.30 V,249.21 V,248.29 V,8.31 A,5.93 A,4.90 A,-0.98 pf
17/06/2023 1:30:00 AM,246.38 V,247.41 V,246.43 V,8.10 A,5.53 A,4.72 A,-0.99 pf
17/06/2023 2:00:00 AM,245.19 V,245.98 V,244.95 V,7.92 A,5.77 A,5.05 A,-0.98 pf
17/06/2023 2:30:00 AM,245.50 V,246.50 V,245.38 V,7.98 A,5.56 A,5.41 A,-0.98 pf
17/06/2023 3:00:00 AM,245.45 V,246.31 V,245.21 V,8.01 A,5.62 A,4.87 A,-0.98 pf
17/06/2023 3:30:00 AM,245.69 V,246.52 V,245.28 V,7.86 A,5.47 A,5.35 A,-0.98 pf
17/06/2023 4:00:00 AM,245.78 V,246.55 V,245.38 V,7.86 A,5.59 A,4.53 A,-0.98 pf
17/06/2023 4:30:00 AM,245.83 V,246.60 V,245.47 V,7.95 A,5.32 A,4.87 A,-0.98 pf
17/06/2023 5:00:00 AM,245.90 V,246.79 V,245.57 V,7.83 A,5.20 A,5.14 A,-0.98 pf
17/06/2023 5:30:00 AM,244.88 V,246.05 V,244.85 V,7.74 A,4.57 A,5.32 A,-0.98 pf
17/06/2023 6:00:00 AM,244.20 V,245.11 V,244.18 V,7.68 A,4.90 A,4.41 A,-0.98 pf
17/06/2023 6:30:00 AM,244.16 V,244.83 V,244.08 V,7.65 A,4.63 A,3.42 A,-0.99 pf
17/06/2023 7:00:00 AM,244.22 V,244.99 V,244.15 V,7.53 A,4.96 A,4.90 A,-0.98 pf
17/06/2023 7:30:00 AM,245.04 V,245.55 V,245.45 V,7.56 A,4.60 A,4.44 A,-0.98 pf
17/06/2023 8:00:00 AM,244.39 V,244.76 V,245.16 V,7.53 A,5.32 A,4.99 A,-0.98 pf
17/06/2023 8:30:00 AM,242.55 V,243.03 V,243.25 V,8.10 A,5.14 A,5.14 A,-0.99 pf
17/06/2023 9:00:00 AM,241.47 V,241.74 V,242.21 V,8.07 A,5.56 A,4.90 A,-0.99 pf
17/06/2023 9:30:00 AM,240.11 V,240.49 V,241.11 V,8.98 A,6.14 A,4.99 A,-0.99 pf
17/06/2023 10:00:00 AM,239.11 V,239.63 V,240.28 V,9.40 A,7.07 A,5.20 A,-0.99 pf
17/06/2023 10:30:00 AM,238.12 V,238.49 V,239.18 V,10.13 A,6.98 A,5.56 A,-0.99 pf
17/06/2023 11:00:00 AM,238.86 V,239.11 V,239.70 V,9.58 A,7.07 A,6.02 A,-0.99 pf
17/06/2023 11:30:00 AM,238.77 V,239.16 V,239.71 V,10.88 A,7.23 A,5.23 A,-0.99 pf
17/06/2023 12:00:00 PM,239.47 V,239.73 V,240.23 V,10.88 A,7.13 A,6.26 A,-0.99 pf
17/06/2023 12:30:00 PM,240.30 V,240.56 V,241.45 V,12.09 A,7.86 A,5.93 A,-0.99 pf
17/06/2023 1:00:00 PM,239.90 V,240.20 V,241.21 V,13.15 A,7.74 A,6.02 A,-0.99 pf
17/06/2023 1:30:00 PM,239.18 V,239.75 V,240.47 V,14.48 A,7.26 A,6.29 A,-0.99 pf
17/06/2023 2:00:00 PM,240.44 V,240.80 V,241.50 V,14.90 A,7.83 A,6.17 A,-0.99 pf
17/06/2023 2:30:00 PM,242.36 V,242.81 V,243.27 V,15.09 A,7.56 A,7.01 A,-0.99 pf
17/06/2023 3:00:00 PM,242.33 V,242.91 V,243.30 V,15.21 A,7.44 A,6.35 A,-0.99 pf
17/06/2023 3:30:00 PM,242.45 V,243.00 V,243.70 V,15.51 A,7.53 A,6.26 A,-0.99 pf
17/06/2023 4:00:00 PM,242.34 V,242.79 V,243.61 V,15.48 A,7.38 A,6.23 A,-0.99 pf
17/06/2023 4:30:00 PM,242.53 V,243.05 V,243.77 V,15.39 A,7.23 A,6.47 A,-0.99 pf
17/06/2023 5:00:00 PM,242.72 V,243.55 V,244.20 V,15.45 A,7.10 A,5.71 A,-0.99 pf
17/06/2023 5:30:00 PM,242.91 V,243.80 V,243.99 V,15.09 A,7.35 A,5.83 A,-0.99 pf
17/06/2023 6:00:00 PM,243.08 V,244.20 V,243.79 V,15.00 A,6.38 A,6.38 A,-0.99 pf
17/06/2023 6:30:00 PM,243.85 V,244.80 V,244.42 V,13.42 A,6.68 A,4.66 A,-0.99 pf
17/06/2023 7:00:00 PM,243.99 V,244.88 V,244.25 V,10.79 A,6.62 A,4.02 A,-0.99 pf
17/06/2023 7:30:00 PM,244.85 V,245.74 V,244.87 V,9.89 A,5.14 A,5.14 A,-0.99 pf
17/06/2023 8:00:00 PM,245.14 V,245.97 V,245.26 V,9.67 A,7.07 A,5.47 A,-0.99 pf
17/06/2023 8:30:00 PM,245.47 V,246.19 V,245.52 V,9.55 A,7.71 A,5.99 A,-0.99 pf
17/06/2023 9:00:00 PM,245.30 V,245.90 V,245.31 V,9.28 A,7.68 A,5.74 A,-0.99 pf
17/06/2023 9:30:00 PM,245.54 V,246.21 V,245.57 V,9.34 A,8.01 A,5.80 A,-0.99 pf
17/06/2023 10:00:00 PM,245.43 V,246.17 V,245.59 V,9.16 A,7.68 A,5.20 A,-0.99 pf
