Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
14/06/2023 12:00:00 AM,246.12 V,246.77 V,246.41 V,11.07 A,17.38 A,5.74 A,-0.99 pf
14/06/2023 12:30:00 AM,244.83 V,245.42 V,245.01 V,10.76 A,16.99 A,5.96 A,-0.99 pf
14/06/2023 1:00:00 AM,245.16 V,245.74 V,245.61 V,10.34 A,17.81 A,5.20 A,-0.99 pf
14/06/2023 1:30:00 AM,245.57 V,246.28 V,245.81 V,10.10 A,16.20 A,5.47 A,-0.99 pf
14/06/2023 2:00:00 AM,245.61 V,246.19 V,245.92 V,9.89 A,16.87 A,5.38 A,-0.99 pf
14/06/2023 2:30:00 AM,246.14 V,246.81 V,246.35 V,9.98 A,16.36 A,5.47 A,-0.99 pf
14/06/2023 3:00:00 AM,246.35 V,246.98 V,246.53 V,9.98 A,16.05 A,5.74 A,-0.99 pf
14/06/2023 3:30:00 AM,246.79 V,247.53 V,246.95 V,9.64 A,16.17 A,6.11 A,-0.99 pf
14/06/2023 4:00:00 AM,246.76 V,247.60 V,247.01 V,9.67 A,15.42 A,5.96 A,-0.99 pf
14/06/2023 4:30:00 AM,247.07 V,247.79 V,247.46 V,9.52 A,14.93 A,4.50 A,-0.99 pf
14/06/2023 5:00:00 AM,247.15 V,247.94 V,247.46 V,9.58 A,15.63 A,5.90 A,-0.99 pf
14/06/2023 5:30:00 AM,246.95 V,247.81 V,247.24 V,9.37 A,14.84 A,5.93 A,-0.99 pf
14/06/2023 6:00:00 AM,246.31 V,247.00 V,246.79 V,9.49 A,15.15 A,5.23 A,-0.99 pf
14/06/2023 6:30:00 AM,245.97 V,246.86 V,246.36 V,9.43 A,11.61 A,4.84 A,-0.99 pf
14/06/2023 7:00:00 AM,246.19 V,247.39 V,246.59 V,14.18 A,10.10 A,5.68 A,-0.99 pf
14/06/2023 7:30:00 AM,245.04 V,246.38 V,245.59 V,20.04 A,9.31 A,6.02 A,1.00 pf
14/06/2023 8:00:00 AM,243.51 V,244.78 V,244.37 V,20.13 A,10.28 A,6.14 A,1.00 pf
14/06/2023 8:30:00 AM,242.14 V,243.48 V,243.24 V,19.98 A,10.19 A,6.47 A,1.00 pf
14/06/2023 9:00:00 AM,240.87 V,242.15 V,241.60 V,21.71 A,10.79 A,10.25 A,1.00 pf
14/06/2023 9:30:00 AM,240.83 V,242.02 V,241.72 V,21.31 A,12.33 A,12.03 A,1.00 pf
14/06/2023 10:00:00 AM,239.82 V,240.90 V,241.09 V,21.34 A,13.06 A,11.52 A,1.00 pf
14/06/2023 10:30:00 AM,239.20 V,240.56 V,240.64 V,25.21 A,12.79 A,9.64 A,-0.99 pf
14/06/2023 11:00:00 AM,240.09 V,241.19 V,241.40 V,24.40 A,11.88 A,8.13 A,-0.99 pf
14/06/2023 11:30:00 AM,240.62 V,241.78 V,242.00 V,22.86 A,11.03 A,8.77 A,-0.99 pf
14/06/2023 12:00:00 PM,242.81 V,243.82 V,244.15 V,22.58 A,11.07 A,8.80 A,-0.99 pf
14/06/2023 12:30:00 PM,243.55 V,244.52 V,245.02 V,22.25 A,10.94 A,9.31 A,-0.99 pf
14/06/2023 1:00:00 PM,243.72 V,244.85 V,245.19 V,22.19 A,10.79 A,8.43 A,-0.99 pf
14/06/2023 1:30:00 PM,242.96 V,244.01 V,244.42 V,22.07 A,10.46 A,8.65 A,-0.99 pf
14/06/2023 2:00:00 PM,242.14 V,243.10 V,243.51 V,22.95 A,10.94 A,8.77 A,-0.99 pf
14/06/2023 2:30:00 PM,241.36 V,242.46 V,242.58 V,23.52 A,11.43 A,9.98 A,-0.99 pf
14/06/2023 3:00:00 PM,240.75 V,241.66 V,241.95 V,23.67 A,14.15 A,9.86 A,-0.99 pf
14/06/2023 3:30:00 PM,240.69 V,241.59 V,242.02 V,24.13 A,14.69 A,9.80 A,-0.99 pf
14/06/2023 4:00:00 PM,240.47 V,241.26 V,241.88 V,24.34 A,14.72 A,9.34 A,-0.99 pf
14/06/2023 4:30:00 PM,239.82 V,240.88 V,241.60 V,24.67 A,13.45 A,10.10 A,-0.99 pf
14/06/2023 5:00:00 PM,241.62 V,242.79 V,243.77 V,23.25 A,13.24 A,7.32 A,-0.99 pf
14/06/2023 5:30:00 PM,244.35 V,245.14 V,246.14 V,15.60 A,9.95 A,6.08 A,-0.99 pf
14/06/2023 6:00:00 PM,245.23 V,245.93 V,246.69 V,11.40 A,6.38 A,5.74 A,-0.99 pf
14/06/2023 6:30:00 PM,244.82 V,245.83 V,246.09 V,10.58 A,6.02 A,5.35 A,-0.99 pf
14/06/2023 7:00:00 PM,243.32 V,244.64 V,243.99 V,10.19 A,5.74 A,5.32 A,-0.99 pf
14/06/2023 7:30:00 PM,242.89 V,244.03 V,243.25 V,9.80 A,5.50 A,4.93 A,-0.99 pf
14/06/2023 8:00:00 PM,242.98 V,243.97 V,243.24 V,9.80 A,5.38 A,5.38 A,-0.99 pf
14/06/2023 8:30:00 PM,243.34 V,244.18 V,243.63 V,9.52 A,5.26 A,5.20 A,-0.99 pf
14/06/2023 9:00:00 PM,243.79 V,244.63 V,244.04 V,9.34 A,5.83 A,6.08 A,-0.98 pf
14/06/2023 9:30:00 PM,244.80 V,245.64 V,245.13 V,9.25 A,7.35 A,5.68 A,-0.98 pf
14/06/2023 10:00:00 PM,245.54 V,246.60 V,246.10 V,9.16 A,7.26 A,5.74 A,-0.98 pf
14/06/2023 10:30:00 PM,245.57 V,246.57 V,246.05 V,9.19 A,7.20 A,5.87 A,-0.98 pf
14/06/2023 11:00:00 PM,245.97 V,247.20 V,246.53 V,9.07 A,4.75 A,4.44 A,-0.99 pf
14/06/2023 11:30:00 PM,246.71 V,248.08 V,247.22 V,9.16 A,4.63 A,5.08 A,-0.98 pf
