Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
07/06/2023 12:00:00 AM,246.02 V,247.15 V,245.61 V,8.28 A,5.11 A,9.89 A,-1.00 pf
07/06/2023 12:30:00 AM,245.85 V,246.98 V,245.38 V,8.28 A,6.14 A,10.76 A,-0.99 pf
07/06/2023 1:00:00 AM,245.86 V,246.96 V,245.26 V,7.86 A,5.38 A,10.97 A,-0.99 pf
07/06/2023 1:30:00 AM,245.69 V,246.86 V,245.06 V,7.86 A,5.20 A,10.58 A,-0.99 pf
07/06/2023 2:00:00 AM,246.43 V,247.39 V,245.64 V,7.80 A,5.56 A,11.34 A,-0.99 pf
07/06/2023 2:30:00 AM,246.41 V,247.58 V,245.83 V,7.65 A,5.47 A,10.49 A,-0.99 pf
07/06/2023 3:00:00 AM,246.83 V,247.86 V,246.07 V,7.74 A,5.17 A,11.67 A,-0.99 pf
07/06/2023 3:30:00 AM,246.64 V,247.68 V,245.86 V,7.38 A,5.17 A,10.85 A,-0.98 pf
07/06/2023 4:00:00 AM,246.12 V,247.15 V,245.33 V,7.47 A,5.08 A,11.28 A,-0.98 pf
07/06/2023 4:30:00 AM,246.14 V,247.27 V,245.42 V,7.23 A,4.90 A,10.76 A,-0.99 pf
07/06/2023 5:00:00 AM,245.88 V,247.00 V,245.16 V,7.47 A,5.17 A,11.10 A,-0.99 pf
07/06/2023 5:30:00 AM,245.30 V,246.71 V,244.85 V,7.17 A,4.75 A,11.16 A,-0.99 pf
07/06/2023 6:00:00 AM,245.30 V,246.47 V,244.78 V,7.10 A,3.99 A,9.28 A,-0.99 pf
07/06/2023 6:30:00 AM,244.59 V,245.80 V,244.22 V,6.98 A,3.72 A,10.25 A,-1.00 pf
07/06/2023 7:00:00 AM,244.66 V,245.76 V,244.32 V,7.04 A,3.69 A,9.40 A,-0.99 pf
07/06/2023 7:30:00 AM,244.88 V,245.78 V,245.21 V,7.10 A,4.60 A,10.40 A,-0.99 pf
07/06/2023 8:00:00 AM,242.27 V,243.29 V,243.70 V,24.22 A,23.34 A,13.82 A,-0.99 pf
07/06/2023 8:30:00 AM,241.83 V,242.72 V,242.70 V,28.96 A,23.52 A,22.80 A,-0.99 pf
07/06/2023 9:00:00 AM,240.80 V,241.83 V,241.84 V,30.69 A,24.76 A,25.00 A,-0.99 pf
07/06/2023 9:30:00 AM,239.75 V,240.56 V,240.80 V,29.78 A,24.70 A,23.97 A,-0.99 pf
07/06/2023 10:00:00 AM,238.58 V,239.49 V,239.56 V,29.51 A,24.76 A,24.64 A,-0.99 pf
07/06/2023 10:30:00 AM,238.82 V,239.51 V,239.56 V,29.96 A,25.03 A,25.76 A,-0.99 pf
07/06/2023 11:00:00 AM,241.00 V,241.90 V,242.02 V,29.57 A,25.67 A,25.21 A,-0.99 pf
07/06/2023 11:30:00 AM,241.17 V,241.81 V,241.98 V,30.60 A,26.21 A,25.73 A,-0.99 pf
07/06/2023 12:00:00 PM,242.03 V,242.51 V,242.96 V,31.68 A,26.94 A,26.42 A,-0.99 pf
07/06/2023 12:30:00 PM,243.05 V,243.84 V,244.28 V,32.14 A,26.85 A,24.70 A,-1.00 pf
07/06/2023 1:00:00 PM,242.84 V,243.60 V,243.82 V,30.93 A,26.85 A,25.88 A,-0.99 pf
07/06/2023 1:30:00 PM,242.26 V,243.17 V,243.27 V,32.38 A,26.73 A,27.90 A,-0.99 pf
07/06/2023 2:00:00 PM,241.47 V,242.36 V,242.65 V,33.17 A,26.94 A,26.06 A,-0.99 pf
07/06/2023 2:30:00 PM,240.93 V,241.83 V,242.00 V,35.22 A,27.42 A,27.57 A,-0.99 pf
07/06/2023 3:00:00 PM,241.16 V,242.12 V,242.21 V,33.56 A,26.57 A,26.30 A,-0.99 pf
07/06/2023 3:30:00 PM,241.76 V,242.58 V,242.77 V,33.62 A,27.36 A,25.85 A,-0.99 pf
07/06/2023 4:00:00 PM,241.19 V,241.95 V,242.15 V,33.44 A,26.67 A,25.37 A,0.99 pf
07/06/2023 4:30:00 PM,241.76 V,242.43 V,242.91 V,30.05 A,25.61 A,20.98 A,0.99 pf
07/06/2023 5:00:00 PM,243.00 V,243.75 V,244.22 V,24.25 A,24.13 A,18.93 A,1.00 pf
07/06/2023 5:30:00 PM,243.82 V,245.02 V,245.73 V,18.74 A,18.68 A,9.46 A,1.00 pf
07/06/2023 6:00:00 PM,245.52 V,246.55 V,247.22 V,9.67 A,11.55 A,6.05 A,-0.99 pf
07/06/2023 6:30:00 PM,245.73 V,246.91 V,247.34 V,9.92 A,6.32 A,2.84 A,-1.00 pf
07/06/2023 7:00:00 PM,244.59 V,245.73 V,244.71 V,10.07 A,6.53 A,5.50 A,-0.99 pf
07/06/2023 7:30:00 PM,244.42 V,245.74 V,244.46 V,10.01 A,6.53 A,6.38 A,-0.99 pf
07/06/2023 8:00:00 PM,244.76 V,245.95 V,244.82 V,9.92 A,6.62 A,6.08 A,-0.99 pf
07/06/2023 8:30:00 PM,245.09 V,246.16 V,245.25 V,9.70 A,5.68 A,5.35 A,-0.98 pf
07/06/2023 9:00:00 PM,245.66 V,246.64 V,245.68 V,8.98 A,5.65 A,6.50 A,-0.98 pf
07/06/2023 9:30:00 PM,246.09 V,247.20 V,246.14 V,8.95 A,5.87 A,5.23 A,-0.98 pf
07/06/2023 10:00:00 PM,246.29 V,247.53 V,246.47 V,8.77 A,5.74 A,5.62 A,-0.98 pf
07/06/2023 10:30:00 PM,247.32 V,248.68 V,247.60 V,8.86 A,5.38 A,4.75 A,-0.98 pf
07/06/2023 11:00:00 PM,247.68 V,248.97 V,247.77 V,8.65 A,5.74 A,5.65 A,-0.98 pf
07/06/2023 11:30:00 PM,248.49 V,249.90 V,248.54 V,8.65 A,5.23 A,4.78 A,-0.98 pf
