Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
23/03/2023 12:00:00 AM,246.02 V,247.48 V,246.14 V,11.40 A,5.50 A,7.01 A,-0.99 pf
23/03/2023 12:30:00 AM,245.88 V,247.34 V,245.88 V,11.22 A,5.26 A,6.95 A,-0.99 pf
23/03/2023 1:00:00 AM,247.05 V,248.70 V,247.08 V,11.00 A,5.38 A,6.86 A,-0.99 pf
23/03/2023 1:30:00 AM,247.26 V,248.80 V,247.29 V,10.73 A,5.50 A,6.89 A,-0.98 pf
23/03/2023 2:00:00 AM,247.84 V,249.52 V,247.74 V,10.61 A,5.14 A,7.44 A,-0.98 pf
23/03/2023 2:30:00 AM,243.12 V,244.75 V,242.98 V,10.58 A,5.14 A,7.23 A,-0.99 pf
23/03/2023 3:00:00 AM,247.10 V,248.73 V,247.07 V,10.43 A,4.87 A,7.56 A,-0.98 pf
23/03/2023 3:30:00 AM,247.60 V,249.25 V,247.50 V,10.46 A,4.96 A,7.32 A,-0.98 pf
23/03/2023 4:00:00 AM,244.66 V,246.28 V,244.42 V,10.16 A,4.60 A,7.41 A,-0.98 pf
23/03/2023 4:30:00 AM,247.26 V,248.94 V,247.12 V,10.22 A,4.78 A,7.44 A,-0.97 pf
23/03/2023 5:00:00 AM,248.10 V,249.66 V,247.99 V,10.22 A,4.57 A,6.20 A,-0.98 pf
23/03/2023 5:30:00 AM,247.43 V,248.78 V,247.10 V,10.16 A,4.14 A,5.65 A,-0.98 pf
23/03/2023 6:00:00 AM,247.36 V,248.65 V,247.03 V,10.04 A,5.14 A,6.59 A,-0.98 pf
23/03/2023 6:30:00 AM,244.52 V,245.69 V,244.13 V,9.83 A,4.87 A,6.80 A,-0.99 pf
23/03/2023 7:00:00 AM,244.66 V,245.68 V,244.46 V,9.92 A,5.11 A,6.86 A,-0.99 pf
23/03/2023 7:30:00 AM,244.37 V,245.45 V,245.07 V,13.06 A,9.10 A,7.47 A,-0.99 pf
23/03/2023 8:00:00 AM,242.84 V,243.70 V,243.60 V,17.60 A,14.63 A,15.00 A,0.99 pf
23/03/2023 8:30:00 AM,241.17 V,241.84 V,241.81 V,19.68 A,18.05 A,18.08 A,0.99 pf
23/03/2023 9:00:00 AM,239.32 V,239.94 V,239.80 V,20.65 A,18.44 A,18.99 A,0.99 pf
