Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
18/03/2023 12:00:00 AM,243.55 V,244.54 V,243.65 V,10.52 A,4.84 A,5.11 A,-0.99 pf
18/03/2023 12:30:00 AM,243.72 V,244.87 V,243.92 V,10.46 A,4.81 A,5.20 A,-0.99 pf
18/03/2023 1:00:00 AM,243.92 V,244.95 V,243.94 V,10.46 A,4.69 A,5.05 A,-0.99 pf
18/03/2023 1:30:00 AM,244.03 V,245.16 V,244.20 V,10.31 A,5.14 A,4.75 A,-0.99 pf
18/03/2023 2:00:00 AM,244.99 V,246.10 V,245.21 V,10.28 A,4.90 A,3.63 A,-0.99 pf
18/03/2023 2:30:00 AM,245.30 V,246.43 V,245.33 V,10.28 A,4.84 A,5.08 A,-0.98 pf
18/03/2023 3:00:00 AM,244.92 V,246.07 V,244.94 V,10.22 A,4.90 A,4.90 A,-0.98 pf
18/03/2023 3:30:00 AM,245.40 V,246.50 V,245.30 V,10.07 A,4.87 A,5.11 A,-0.98 pf
18/03/2023 4:00:00 AM,245.55 V,246.86 V,245.61 V,9.98 A,4.81 A,5.05 A,-0.98 pf
18/03/2023 4:30:00 AM,244.18 V,245.35 V,244.11 V,9.86 A,4.66 A,5.05 A,-0.99 pf
18/03/2023 5:00:00 AM,243.17 V,244.54 V,243.24 V,9.77 A,4.84 A,4.93 A,-0.99 pf
18/03/2023 5:30:00 AM,242.45 V,243.67 V,242.36 V,9.64 A,4.69 A,4.81 A,-0.99 pf
18/03/2023 6:00:00 AM,243.56 V,244.73 V,243.46 V,9.61 A,4.72 A,5.11 A,-0.99 pf
18/03/2023 6:30:00 AM,248.05 V,249.42 V,248.11 V,9.92 A,4.66 A,5.32 A,-0.97 pf
18/03/2023 7:00:00 AM,247.94 V,249.27 V,248.10 V,9.89 A,4.66 A,5.32 A,-0.98 pf
18/03/2023 7:30:00 AM,247.41 V,248.56 V,247.79 V,9.83 A,5.08 A,5.47 A,-0.98 pf
18/03/2023 8:00:00 AM,243.37 V,244.64 V,244.18 V,9.43 A,4.90 A,3.75 A,-0.99 pf
18/03/2023 8:30:00 AM,240.90 V,242.21 V,241.26 V,9.55 A,4.75 A,5.11 A,-0.99 pf
18/03/2023 9:00:00 AM,244.15 V,245.25 V,244.39 V,9.77 A,4.75 A,5.65 A,-0.98 pf
18/03/2023 9:30:00 AM,243.61 V,244.54 V,243.77 V,9.37 A,4.69 A,5.50 A,-0.99 pf
18/03/2023 10:00:00 AM,244.13 V,245.25 V,244.46 V,9.16 A,4.60 A,5.62 A,-0.98 pf
