Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
03/03/2023 12:00:00 AM,244.42 V,245.90 V,244.32 V,14.03 A,5.99 A,6.83 A,-0.99 pf
03/03/2023 12:30:00 AM,243.51 V,244.95 V,243.30 V,13.70 A,5.74 A,7.04 A,-0.99 pf
03/03/2023 1:00:00 AM,243.91 V,245.30 V,243.67 V,13.57 A,5.74 A,6.17 A,-0.99 pf
03/03/2023 1:30:00 AM,244.35 V,245.83 V,244.23 V,13.45 A,6.08 A,5.90 A,-0.99 pf
03/03/2023 2:00:00 AM,244.73 V,246.24 V,244.52 V,13.18 A,5.74 A,6.56 A,-0.99 pf
03/03/2023 2:30:00 AM,245.19 V,246.65 V,244.94 V,13.21 A,6.02 A,6.41 A,-0.99 pf
03/03/2023 3:00:00 AM,244.42 V,246.05 V,244.32 V,13.36 A,5.59 A,5.41 A,-0.99 pf
03/03/2023 3:30:00 AM,244.85 V,246.28 V,244.51 V,13.33 A,5.71 A,6.53 A,-0.99 pf
03/03/2023 4:00:00 AM,245.06 V,246.57 V,244.85 V,13.09 A,5.59 A,6.17 A,-0.99 pf
03/03/2023 4:30:00 AM,245.23 V,246.79 V,245.01 V,13.15 A,5.65 A,5.90 A,-0.99 pf
03/03/2023 5:00:00 AM,245.66 V,247.20 V,245.26 V,13.24 A,5.62 A,6.56 A,-0.99 pf
03/03/2023 5:30:00 AM,244.92 V,246.47 V,244.58 V,13.36 A,5.41 A,6.47 A,-0.99 pf
03/03/2023 6:00:00 AM,244.75 V,246.26 V,244.42 V,13.24 A,5.47 A,6.89 A,-0.99 pf
03/03/2023 6:30:00 AM,244.11 V,245.78 V,243.92 V,12.94 A,5.44 A,6.80 A,-0.99 pf
03/03/2023 7:00:00 AM,243.03 V,244.59 V,242.88 V,13.03 A,5.32 A,6.08 A,-0.99 pf
03/03/2023 7:30:00 AM,242.88 V,244.39 V,243.13 V,14.39 A,7.10 A,6.38 A,-0.99 pf
03/03/2023 8:00:00 AM,241.48 V,243.34 V,242.41 V,19.59 A,8.56 A,7.86 A,1.00 pf
03/03/2023 8:30:00 AM,243.00 V,244.46 V,243.92 V,19.26 A,8.04 A,9.43 A,1.00 pf
03/03/2023 9:00:00 AM,240.44 V,241.72 V,241.33 V,21.28 A,8.98 A,15.51 A,-0.99 pf
03/03/2023 9:30:00 AM,239.32 V,240.59 V,240.59 V,21.07 A,14.39 A,11.49 A,0.99 pf
03/03/2023 10:00:00 AM,239.68 V,240.99 V,240.90 V,22.58 A,13.36 A,11.88 A,-1.00 pf
03/03/2023 10:30:00 AM,239.56 V,240.88 V,240.95 V,24.34 A,13.51 A,12.27 A,-1.00 pf
03/03/2023 11:00:00 AM,240.90 V,242.00 V,242.22 V,25.03 A,16.81 A,12.82 A,-0.99 pf
03/03/2023 11:30:00 AM,241.35 V,242.12 V,242.36 V,24.73 A,17.96 A,14.00 A,-0.99 pf
03/03/2023 12:00:00 PM,242.75 V,243.73 V,243.89 V,23.40 A,13.70 A,12.09 A,1.00 pf
03/03/2023 12:30:00 PM,241.28 V,242.19 V,242.41 V,22.58 A,12.49 A,12.52 A,1.00 pf
03/03/2023 1:00:00 PM,241.12 V,242.17 V,242.38 V,23.19 A,12.49 A,12.09 A,1.00 pf
03/03/2023 1:30:00 PM,240.73 V,241.59 V,241.79 V,23.22 A,12.67 A,12.97 A,1.00 pf
03/03/2023 2:00:00 PM,240.44 V,241.29 V,241.50 V,24.37 A,12.33 A,12.46 A,1.00 pf
03/03/2023 2:30:00 PM,239.49 V,240.26 V,240.33 V,25.49 A,13.06 A,13.12 A,1.00 pf
03/03/2023 3:00:00 PM,239.51 V,240.69 V,240.76 V,27.51 A,12.94 A,11.76 A,-0.99 pf
03/03/2023 3:30:00 PM,240.71 V,241.69 V,241.86 V,23.61 A,11.88 A,9.52 A,1.00 pf
03/03/2023 4:00:00 PM,241.57 V,242.62 V,242.72 V,22.49 A,11.49 A,9.19 A,1.00 pf
03/03/2023 4:30:00 PM,241.76 V,243.05 V,242.79 V,19.38 A,9.19 A,7.07 A,0.99 pf
03/03/2023 5:00:00 PM,242.65 V,244.18 V,243.58 V,14.63 A,4.75 A,6.80 A,-0.99 pf
03/03/2023 5:30:00 PM,243.65 V,245.21 V,244.76 V,14.36 A,4.44 A,6.29 A,-0.99 pf
03/03/2023 6:00:00 PM,242.19 V,243.63 V,242.89 V,14.33 A,4.72 A,6.02 A,-0.99 pf
03/03/2023 6:30:00 PM,242.22 V,243.75 V,242.46 V,14.18 A,4.47 A,6.26 A,-0.99 pf
03/03/2023 7:00:00 PM,242.81 V,244.44 V,243.01 V,14.15 A,4.57 A,6.14 A,-0.99 pf
03/03/2023 7:30:00 PM,242.29 V,243.70 V,242.34 V,14.06 A,5.08 A,5.99 A,-0.99 pf
03/03/2023 8:00:00 PM,241.96 V,243.37 V,242.00 V,13.97 A,4.72 A,6.62 A,-0.99 pf
03/03/2023 8:30:00 PM,242.26 V,243.61 V,242.15 V,13.88 A,4.78 A,6.29 A,-0.99 pf
03/03/2023 9:00:00 PM,242.50 V,243.91 V,242.51 V,13.57 A,4.50 A,6.29 A,-0.99 pf
03/03/2023 9:30:00 PM,243.01 V,244.15 V,242.89 V,13.45 A,4.78 A,5.87 A,-0.99 pf
03/03/2023 10:00:00 PM,243.58 V,244.78 V,243.49 V,13.33 A,4.47 A,5.41 A,-0.99 pf
03/03/2023 10:30:00 PM,244.80 V,245.92 V,244.63 V,13.15 A,4.60 A,5.38 A,-0.99 pf
03/03/2023 11:00:00 PM,244.64 V,245.83 V,244.52 V,13.15 A,4.60 A,5.41 A,-0.99 pf
03/03/2023 11:30:00 PM,244.54 V,246.00 V,244.54 V,13.06 A,4.53 A,6.05 A,-0.99 pf
