Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
17/03/2023 12:00:00 AM,245.23 V,246.07 V,245.16 V,7.07 A,4.84 A,5.62 A,-0.98 pf
17/03/2023 12:30:00 AM,243.44 V,244.35 V,243.41 V,6.89 A,4.75 A,5.65 A,-0.98 pf
17/03/2023 1:00:00 AM,244.11 V,245.04 V,244.20 V,6.86 A,4.63 A,4.29 A,-0.99 pf
17/03/2023 1:30:00 AM,244.58 V,245.59 V,244.75 V,6.86 A,5.26 A,4.38 A,-0.99 pf
17/03/2023 2:00:00 AM,243.94 V,245.09 V,243.97 V,6.95 A,4.75 A,4.96 A,-0.98 pf
17/03/2023 2:30:00 AM,244.09 V,245.02 V,243.87 V,6.92 A,4.96 A,5.56 A,-0.98 pf
17/03/2023 3:00:00 AM,244.80 V,245.97 V,244.68 V,6.89 A,4.57 A,5.56 A,-0.98 pf
17/03/2023 3:30:00 AM,245.42 V,246.38 V,245.09 V,6.92 A,4.96 A,5.56 A,-0.98 pf
17/03/2023 4:00:00 AM,245.37 V,246.53 V,245.25 V,7.01 A,4.47 A,5.77 A,-0.97 pf
17/03/2023 4:30:00 AM,245.49 V,246.57 V,245.31 V,6.92 A,4.90 A,5.44 A,-0.97 pf
17/03/2023 5:00:00 AM,245.23 V,246.41 V,245.04 V,7.01 A,4.60 A,6.14 A,-0.97 pf
17/03/2023 5:30:00 AM,245.33 V,246.43 V,245.13 V,7.04 A,4.87 A,6.11 A,-0.97 pf
17/03/2023 6:00:00 AM,244.87 V,246.00 V,244.66 V,6.92 A,4.57 A,6.20 A,-0.97 pf
17/03/2023 6:30:00 AM,243.91 V,245.09 V,243.79 V,7.44 A,4.81 A,5.59 A,-0.98 pf
17/03/2023 7:00:00 AM,242.63 V,244.15 V,242.91 V,16.05 A,5.87 A,6.17 A,1.00 pf
17/03/2023 7:30:00 AM,243.46 V,244.64 V,244.59 V,14.09 A,6.29 A,5.02 A,0.99 pf
17/03/2023 8:00:00 AM,242.12 V,243.34 V,243.41 V,14.72 A,6.08 A,6.44 A,-1.00 pf
17/03/2023 8:30:00 AM,241.43 V,242.55 V,242.53 V,15.51 A,6.56 A,6.68 A,1.00 pf
17/03/2023 9:00:00 AM,240.37 V,241.52 V,241.55 V,15.75 A,6.71 A,7.35 A,1.00 pf
17/03/2023 9:30:00 AM,240.93 V,241.95 V,242.02 V,16.30 A,6.80 A,7.32 A,-1.00 pf
17/03/2023 10:00:00 AM,241.29 V,242.46 V,242.51 V,17.02 A,6.38 A,7.47 A,1.00 pf
17/03/2023 10:30:00 AM,240.16 V,240.97 V,241.16 V,17.69 A,6.80 A,9.13 A,-1.00 pf
17/03/2023 11:00:00 AM,240.02 V,241.07 V,241.00 V,18.17 A,6.65 A,7.86 A,1.00 pf
17/03/2023 11:30:00 AM,241.07 V,241.81 V,241.84 V,18.32 A,6.86 A,8.04 A,-1.00 pf
17/03/2023 12:00:00 PM,241.95 V,242.93 V,242.96 V,18.59 A,6.77 A,9.34 A,-1.00 pf
17/03/2023 12:30:00 PM,243.03 V,244.03 V,244.22 V,18.99 A,6.71 A,9.37 A,-1.00 pf
17/03/2023 1:00:00 PM,242.75 V,243.77 V,243.96 V,19.71 A,6.83 A,8.56 A,1.00 pf
17/03/2023 1:30:00 PM,240.73 V,241.62 V,241.96 V,20.01 A,7.13 A,8.04 A,0.99 pf
17/03/2023 2:00:00 PM,239.82 V,240.68 V,240.76 V,20.53 A,7.04 A,8.16 A,1.00 pf
17/03/2023 2:30:00 PM,239.03 V,239.94 V,240.02 V,21.74 A,7.17 A,8.50 A,1.00 pf
17/03/2023 3:00:00 PM,238.51 V,239.56 V,239.70 V,22.58 A,7.10 A,8.95 A,1.00 pf
17/03/2023 3:30:00 PM,238.15 V,239.51 V,239.59 V,24.73 A,7.26 A,8.28 A,1.00 pf
17/03/2023 4:00:00 PM,239.01 V,240.13 V,240.23 V,25.67 A,6.98 A,8.80 A,1.00 pf
17/03/2023 4:30:00 PM,240.54 V,241.60 V,241.81 V,21.31 A,6.95 A,7.98 A,-1.00 pf
17/03/2023 5:00:00 PM,243.82 V,244.52 V,244.94 V,14.60 A,5.20 A,6.98 A,-0.99 pf
17/03/2023 5:30:00 PM,245.06 V,245.69 V,246.45 V,13.54 A,5.47 A,6.74 A,-0.99 pf
17/03/2023 6:00:00 PM,244.54 V,245.19 V,245.74 V,13.60 A,5.05 A,6.74 A,-0.99 pf
17/03/2023 6:30:00 PM,242.17 V,242.94 V,243.44 V,13.36 A,5.08 A,5.68 A,-0.99 pf
17/03/2023 7:00:00 PM,245.55 V,246.40 V,245.92 V,12.97 A,5.02 A,6.08 A,-0.99 pf
17/03/2023 7:30:00 PM,246.72 V,247.87 V,247.08 V,12.61 A,5.53 A,4.78 A,-0.99 pf
17/03/2023 8:00:00 PM,247.10 V,248.29 V,247.46 V,12.52 A,5.26 A,4.87 A,-0.99 pf
17/03/2023 8:30:00 PM,247.74 V,248.89 V,247.96 V,12.52 A,5.29 A,5.50 A,-0.98 pf
17/03/2023 9:00:00 PM,248.80 V,249.87 V,249.04 V,12.24 A,5.44 A,5.53 A,-0.98 pf
17/03/2023 9:30:00 PM,244.78 V,245.81 V,244.95 V,11.67 A,5.38 A,5.32 A,-0.99 pf
17/03/2023 10:00:00 PM,243.36 V,244.32 V,243.48 V,11.16 A,5.02 A,5.35 A,-0.99 pf
17/03/2023 10:30:00 PM,244.95 V,245.92 V,245.16 V,11.16 A,4.84 A,5.17 A,-0.99 pf
17/03/2023 11:00:00 PM,245.49 V,246.53 V,245.68 V,10.94 A,4.93 A,5.26 A,-0.99 pf
17/03/2023 11:30:00 PM,244.34 V,245.55 V,244.78 V,11.00 A,4.96 A,5.26 A,-0.99 pf
