Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
01/07/2023 12:00:00 AM,246.00 V,246.76 V,246.07 V,9.61 A,7.32 A,5.11 A,-0.99 pf
01/07/2023 12:30:00 AM,246.71 V,247.41 V,246.71 V,9.55 A,7.07 A,5.23 A,-0.99 pf
01/07/2023 1:00:00 AM,246.57 V,247.20 V,246.55 V,9.37 A,7.74 A,5.23 A,-0.99 pf
01/07/2023 1:30:00 AM,246.64 V,247.36 V,246.59 V,9.19 A,6.68 A,5.23 A,-0.99 pf
01/07/2023 2:00:00 AM,246.76 V,247.48 V,246.64 V,9.22 A,7.26 A,5.41 A,-0.98 pf
01/07/2023 2:30:00 AM,247.34 V,248.15 V,247.27 V,9.28 A,7.13 A,5.05 A,-0.98 pf
01/07/2023 3:00:00 AM,247.53 V,248.41 V,247.53 V,9.19 A,6.83 A,4.50 A,-0.98 pf
01/07/2023 3:30:00 AM,247.77 V,248.58 V,247.89 V,8.89 A,6.95 A,3.60 A,-0.99 pf
01/07/2023 4:00:00 AM,246.38 V,247.29 V,246.35 V,8.86 A,6.65 A,5.29 A,-0.98 pf
01/07/2023 4:30:00 AM,242.72 V,243.56 V,242.74 V,8.80 A,6.71 A,5.02 A,-0.99 pf
01/07/2023 5:00:00 AM,243.08 V,243.99 V,243.13 V,8.68 A,6.68 A,4.63 A,-0.99 pf
01/07/2023 5:30:00 AM,243.18 V,244.15 V,243.18 V,8.53 A,6.44 A,4.63 A,-0.99 pf
01/07/2023 6:00:00 AM,242.82 V,243.68 V,242.81 V,8.56 A,6.62 A,5.20 A,-0.99 pf
01/07/2023 6:30:00 AM,242.41 V,243.18 V,242.46 V,8.59 A,6.44 A,5.08 A,-0.99 pf
01/07/2023 7:00:00 AM,242.84 V,243.92 V,243.30 V,8.28 A,6.71 A,5.05 A,-0.99 pf
01/07/2023 7:30:00 AM,243.63 V,244.34 V,244.59 V,8.65 A,5.83 A,4.47 A,-0.99 pf
01/07/2023 8:00:00 AM,243.18 V,243.63 V,244.30 V,8.77 A,6.89 A,4.99 A,-0.99 pf
01/07/2023 8:30:00 AM,241.72 V,242.22 V,242.91 V,9.07 A,6.80 A,5.14 A,-0.99 pf
01/07/2023 9:00:00 AM,240.21 V,240.71 V,241.43 V,9.25 A,7.13 A,5.35 A,-0.99 pf
01/07/2023 9:30:00 AM,238.89 V,239.25 V,240.28 V,9.70 A,7.56 A,4.60 A,-0.99 pf
01/07/2023 10:00:00 AM,240.68 V,241.07 V,242.10 V,9.22 A,7.41 A,5.44 A,-0.99 pf
01/07/2023 10:30:00 AM,240.99 V,241.38 V,242.33 V,10.70 A,7.71 A,5.47 A,-0.99 pf
01/07/2023 11:00:00 AM,240.47 V,240.97 V,241.81 V,13.82 A,7.77 A,6.08 A,-0.99 pf
01/07/2023 11:30:00 AM,239.89 V,240.57 V,241.31 V,16.39 A,7.50 A,6.41 A,-0.99 pf
01/07/2023 12:00:00 PM,240.78 V,241.40 V,242.08 V,15.30 A,7.35 A,6.50 A,-0.99 pf
01/07/2023 12:30:00 PM,241.59 V,242.17 V,243.06 V,15.42 A,7.47 A,7.17 A,-0.99 pf
01/07/2023 1:00:00 PM,241.72 V,242.38 V,243.27 V,15.06 A,7.23 A,6.74 A,-0.99 pf
01/07/2023 1:30:00 PM,241.90 V,242.91 V,243.48 V,15.18 A,5.62 A,6.17 A,-0.99 pf
01/07/2023 2:00:00 PM,242.41 V,243.30 V,243.96 V,15.33 A,6.14 A,6.35 A,-0.99 pf
01/07/2023 2:30:00 PM,242.69 V,243.60 V,244.20 V,15.27 A,7.77 A,7.41 A,-0.99 pf
01/07/2023 3:00:00 PM,243.05 V,243.99 V,244.37 V,15.03 A,7.74 A,5.96 A,-0.99 pf
01/07/2023 3:30:00 PM,243.67 V,244.83 V,244.90 V,14.93 A,6.35 A,4.69 A,-0.99 pf
01/07/2023 4:00:00 PM,244.22 V,245.35 V,245.16 V,14.36 A,4.44 A,4.11 A,-0.99 pf
01/07/2023 4:30:00 PM,244.47 V,245.68 V,245.38 V,13.82 A,4.38 A,5.14 A,-0.99 pf
01/07/2023 5:00:00 PM,244.94 V,246.21 V,246.26 V,13.60 A,7.35 A,5.05 A,-0.99 pf
01/07/2023 5:30:00 PM,245.78 V,246.89 V,247.03 V,13.79 A,7.53 A,4.72 A,-0.99 pf
01/07/2023 6:00:00 PM,246.12 V,247.26 V,247.31 V,12.27 A,6.74 A,4.66 A,-0.99 pf
01/07/2023 6:30:00 PM,245.80 V,247.00 V,246.47 V,9.67 A,4.72 A,4.93 A,-0.98 pf
01/07/2023 7:00:00 PM,245.33 V,246.65 V,245.62 V,9.28 A,6.83 A,5.11 A,-0.99 pf
01/07/2023 7:30:00 PM,245.19 V,246.47 V,245.50 V,9.22 A,6.83 A,5.26 A,-0.99 pf
01/07/2023 8:00:00 PM,245.23 V,246.40 V,245.57 V,9.25 A,7.47 A,5.02 A,-0.99 pf
01/07/2023 8:30:00 PM,245.21 V,246.29 V,245.59 V,9.07 A,7.62 A,4.60 A,-0.99 pf
01/07/2023 9:00:00 PM,245.43 V,246.35 V,245.73 V,8.92 A,7.38 A,5.26 A,-0.99 pf
01/07/2023 9:30:00 PM,245.33 V,246.21 V,245.52 V,8.86 A,5.41 A,5.23 A,-0.98 pf
01/07/2023 10:00:00 PM,245.76 V,246.76 V,246.16 V,8.71 A,5.87 A,3.63 A,-0.99 pf
01/07/2023 10:30:00 PM,245.92 V,246.84 V,246.04 V,8.68 A,5.50 A,4.23 A,-0.98 pf
01/07/2023 11:00:00 PM,246.10 V,247.07 V,246.21 V,8.62 A,5.68 A,5.11 A,-0.98 pf
01/07/2023 11:30:00 PM,246.24 V,247.15 V,246.19 V,8.62 A,5.62 A,5.38 A,-0.98 pf
