Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
11/03/2023 12:00:00 AM,243.44 V,244.63 V,243.49 V,6.80 A,4.63 A,4.78 A,-0.98 pf
11/03/2023 12:30:00 AM,241.79 V,242.98 V,241.74 V,6.47 A,4.44 A,5.35 A,-0.98 pf
11/03/2023 1:00:00 AM,242.60 V,243.72 V,242.41 V,6.47 A,4.44 A,5.35 A,-0.99 pf
11/03/2023 1:30:00 AM,242.70 V,243.91 V,242.62 V,6.59 A,4.84 A,4.72 A,-0.98 pf
11/03/2023 2:00:00 AM,243.13 V,244.30 V,242.88 V,6.50 A,4.63 A,5.14 A,-0.98 pf
11/03/2023 2:30:00 AM,243.13 V,244.42 V,243.08 V,6.32 A,4.57 A,4.90 A,-0.98 pf
11/03/2023 3:00:00 AM,243.58 V,244.63 V,243.30 V,6.47 A,4.57 A,4.90 A,-0.98 pf
11/03/2023 3:30:00 AM,243.42 V,244.63 V,243.27 V,6.05 A,4.60 A,4.11 A,-0.99 pf
11/03/2023 4:00:00 AM,243.79 V,244.94 V,243.42 V,6.17 A,4.44 A,4.50 A,-0.97 pf
11/03/2023 4:30:00 AM,244.25 V,245.38 V,243.85 V,6.02 A,4.44 A,5.38 A,-0.97 pf
11/03/2023 5:00:00 AM,244.30 V,245.49 V,244.06 V,6.29 A,4.57 A,4.29 A,-0.97 pf
11/03/2023 5:30:00 AM,244.04 V,245.01 V,243.65 V,6.11 A,4.44 A,5.32 A,-0.97 pf
11/03/2023 6:00:00 AM,243.20 V,244.13 V,242.89 V,6.14 A,4.47 A,4.57 A,-0.97 pf
11/03/2023 6:30:00 AM,243.24 V,244.27 V,243.03 V,5.93 A,4.35 A,4.96 A,-0.98 pf
11/03/2023 7:00:00 AM,242.75 V,243.87 V,242.53 V,6.32 A,3.72 A,5.41 A,-0.98 pf
11/03/2023 7:30:00 AM,243.08 V,244.13 V,242.91 V,5.87 A,3.93 A,5.65 A,-0.97 pf
11/03/2023 8:00:00 AM,241.40 V,242.74 V,241.57 V,6.20 A,3.66 A,4.69 A,-0.97 pf
11/03/2023 8:30:00 AM,244.80 V,246.04 V,244.90 V,6.08 A,4.38 A,5.99 A,-0.97 pf
11/03/2023 9:00:00 AM,243.67 V,244.40 V,243.80 V,6.17 A,4.53 A,6.02 A,-0.98 pf
11/03/2023 9:30:00 AM,244.73 V,245.33 V,244.94 V,6.29 A,4.60 A,4.63 A,-0.99 pf
11/03/2023 10:00:00 AM,243.87 V,244.52 V,244.18 V,5.99 A,4.35 A,4.96 A,-0.98 pf
11/03/2023 10:30:00 AM,244.97 V,245.73 V,245.66 V,6.05 A,4.44 A,5.38 A,-0.97 pf
11/03/2023 11:00:00 AM,245.28 V,246.28 V,246.17 V,6.17 A,4.47 A,5.99 A,-0.97 pf
11/03/2023 11:30:00 AM,246.07 V,247.14 V,246.98 V,5.99 A,4.47 A,5.77 A,-0.97 pf
11/03/2023 12:00:00 PM,246.14 V,246.93 V,246.91 V,6.11 A,4.53 A,5.90 A,-0.97 pf
11/03/2023 12:30:00 PM,245.33 V,245.95 V,246.21 V,5.96 A,4.60 A,5.38 A,-0.97 pf
11/03/2023 1:00:00 PM,244.25 V,244.61 V,244.82 V,5.99 A,4.29 A,5.38 A,-0.98 pf
11/03/2023 1:30:00 PM,243.48 V,243.75 V,244.11 V,6.14 A,4.66 A,5.65 A,-0.98 pf
11/03/2023 2:00:00 PM,243.49 V,243.58 V,244.11 V,5.93 A,4.57 A,5.80 A,-0.98 pf
11/03/2023 2:30:00 PM,243.51 V,243.68 V,244.18 V,6.20 A,4.44 A,5.77 A,-0.98 pf
11/03/2023 3:00:00 PM,243.63 V,243.85 V,244.35 V,6.29 A,4.50 A,5.74 A,-0.98 pf
11/03/2023 3:30:00 PM,243.79 V,244.28 V,244.94 V,6.20 A,4.35 A,4.96 A,-0.99 pf
11/03/2023 4:00:00 PM,243.55 V,244.06 V,244.78 V,6.23 A,4.44 A,4.60 A,-0.99 pf
11/03/2023 4:30:00 PM,243.32 V,243.89 V,244.47 V,6.35 A,4.41 A,5.80 A,-0.98 pf
11/03/2023 5:00:00 PM,243.48 V,244.09 V,244.70 V,6.11 A,4.38 A,5.74 A,-0.98 pf
11/03/2023 5:30:00 PM,244.04 V,244.73 V,245.25 V,6.23 A,4.47 A,5.83 A,-0.98 pf
11/03/2023 6:00:00 PM,243.87 V,244.56 V,245.02 V,5.99 A,4.44 A,5.68 A,-0.98 pf
11/03/2023 6:30:00 PM,243.24 V,244.09 V,244.04 V,6.29 A,4.29 A,5.71 A,-0.98 pf
11/03/2023 7:00:00 PM,243.75 V,244.66 V,243.99 V,5.87 A,4.47 A,5.41 A,-0.98 pf
11/03/2023 7:30:00 PM,248.77 V,249.85 V,249.01 V,6.08 A,4.66 A,5.23 A,-0.96 pf
11/03/2023 8:00:00 PM,245.85 V,246.76 V,245.81 V,6.38 A,4.75 A,5.56 A,-0.97 pf
11/03/2023 8:30:00 PM,243.56 V,244.59 V,243.79 V,5.90 A,4.60 A,5.38 A,-0.97 pf
11/03/2023 9:00:00 PM,243.13 V,243.96 V,243.37 V,6.08 A,4.69 A,4.69 A,-0.97 pf
11/03/2023 9:30:00 PM,242.69 V,243.49 V,242.88 V,6.14 A,4.72 A,4.60 A,-0.98 pf
11/03/2023 10:00:00 PM,243.77 V,244.56 V,243.94 V,5.99 A,4.44 A,3.48 A,-0.99 pf
11/03/2023 10:30:00 PM,245.04 V,245.90 V,244.99 V,6.05 A,4.53 A,4.69 A,-0.97 pf
11/03/2023 11:00:00 PM,245.50 V,246.41 V,245.49 V,5.99 A,3.99 A,4.66 A,-0.97 pf
11/03/2023 11:30:00 PM,242.98 V,244.09 V,243.10 V,6.11 A,4.50 A,5.08 A,-0.97 pf
