Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
21/03/2023 12:00:00 AM,242.38 V,243.46 V,242.19 V,8.34 A,4.63 A,6.98 A,-0.98 pf
21/03/2023 12:30:00 AM,242.19 V,243.36 V,242.02 V,8.28 A,3.69 A,5.96 A,-0.98 pf
21/03/2023 1:00:00 AM,243.00 V,244.23 V,242.79 V,8.13 A,3.51 A,6.98 A,-0.98 pf
21/03/2023 1:30:00 AM,242.81 V,244.01 V,242.60 V,8.04 A,4.05 A,6.56 A,-0.98 pf
21/03/2023 2:00:00 AM,243.51 V,244.80 V,243.39 V,8.13 A,3.66 A,5.83 A,-0.98 pf
21/03/2023 2:30:00 AM,244.08 V,245.14 V,243.72 V,8.04 A,3.84 A,6.68 A,-0.97 pf
21/03/2023 3:00:00 AM,242.89 V,244.08 V,242.67 V,7.74 A,3.57 A,6.74 A,-0.98 pf
21/03/2023 3:30:00 AM,242.36 V,243.46 V,242.21 V,8.01 A,3.84 A,4.78 A,-0.99 pf
21/03/2023 4:00:00 AM,243.24 V,244.16 V,242.96 V,7.71 A,3.42 A,4.60 A,-0.99 pf
21/03/2023 4:30:00 AM,242.19 V,243.44 V,242.12 V,7.89 A,3.75 A,5.02 A,-0.99 pf
21/03/2023 5:00:00 AM,241.90 V,242.88 V,241.52 V,7.59 A,3.42 A,5.99 A,-0.98 pf
21/03/2023 5:30:00 AM,246.98 V,247.94 V,246.72 V,7.98 A,3.75 A,5.53 A,-0.97 pf
21/03/2023 6:00:00 AM,248.10 V,249.06 V,247.94 V,8.04 A,3.72 A,5.87 A,-0.97 pf
21/03/2023 6:30:00 AM,247.63 V,248.68 V,247.41 V,7.86 A,3.54 A,6.29 A,-0.97 pf
21/03/2023 7:00:00 AM,248.05 V,248.96 V,247.99 V,8.07 A,3.51 A,5.32 A,-0.97 pf
21/03/2023 7:30:00 AM,248.84 V,249.47 V,249.49 V,8.56 A,4.29 A,6.89 A,-0.96 pf
