Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
27/05/2023 12:00:00 AM,249.08 V,249.99 V,248.49 V,8.04 A,4.87 A,10.07 A,-0.98 pf
27/05/2023 12:30:00 AM,248.60 V,249.51 V,248.01 V,7.89 A,4.60 A,9.40 A,-0.98 pf
27/05/2023 1:00:00 AM,247.96 V,248.92 V,247.34 V,7.83 A,4.35 A,9.07 A,-0.99 pf
27/05/2023 1:30:00 AM,248.46 V,249.35 V,247.81 V,7.71 A,4.78 A,10.10 A,-0.99 pf
27/05/2023 2:00:00 AM,249.01 V,249.99 V,248.39 V,7.80 A,4.87 A,9.10 A,-0.98 pf
27/05/2023 2:30:00 AM,247.89 V,248.84 V,247.19 V,7.38 A,4.81 A,10.07 A,-0.98 pf
27/05/2023 3:00:00 AM,245.69 V,246.71 V,245.04 V,7.53 A,4.69 A,8.71 A,-0.99 pf
27/05/2023 3:30:00 AM,246.07 V,247.07 V,245.40 V,7.38 A,4.69 A,8.47 A,-0.99 pf
27/05/2023 4:00:00 AM,246.24 V,247.15 V,245.42 V,7.41 A,4.41 A,9.83 A,-0.99 pf
27/05/2023 4:30:00 AM,246.28 V,247.29 V,245.66 V,7.29 A,4.60 A,8.43 A,-0.99 pf
27/05/2023 5:00:00 AM,246.17 V,247.00 V,245.64 V,6.98 A,4.53 A,8.53 A,-1.00 pf
27/05/2023 5:30:00 AM,246.62 V,247.55 V,246.21 V,7.13 A,4.63 A,7.38 A,-0.99 pf
27/05/2023 6:00:00 AM,246.29 V,247.22 V,245.71 V,7.10 A,4.35 A,8.47 A,-0.99 pf
27/05/2023 6:30:00 AM,246.00 V,246.86 V,245.38 V,6.80 A,4.60 A,9.34 A,-0.98 pf
27/05/2023 7:00:00 AM,246.67 V,247.55 V,246.50 V,7.04 A,4.23 A,8.19 A,-0.99 pf
27/05/2023 7:30:00 AM,247.87 V,248.89 V,248.56 V,7.32 A,3.81 A,9.52 A,-0.98 pf
27/05/2023 8:00:00 AM,246.33 V,247.34 V,247.50 V,7.74 A,6.14 A,9.61 A,-0.99 pf
27/05/2023 8:30:00 AM,243.77 V,244.37 V,244.44 V,7.89 A,5.29 A,11.19 A,-0.99 pf
27/05/2023 9:00:00 AM,241.95 V,242.48 V,242.46 V,8.04 A,5.35 A,11.40 A,-0.99 pf
27/05/2023 9:30:00 AM,241.14 V,241.48 V,241.54 V,8.62 A,7.07 A,12.82 A,-0.99 pf
27/05/2023 10:00:00 AM,239.89 V,240.37 V,240.26 V,9.16 A,6.05 A,12.85 A,-0.99 pf
27/05/2023 10:30:00 AM,242.50 V,242.88 V,242.81 V,9.01 A,6.56 A,14.45 A,-0.99 pf
27/05/2023 11:00:00 AM,242.45 V,242.69 V,242.86 V,9.83 A,7.01 A,15.06 A,1.00 pf
27/05/2023 11:30:00 AM,242.08 V,242.21 V,242.51 V,9.28 A,7.17 A,14.27 A,1.00 pf
27/05/2023 12:00:00 PM,242.88 V,243.20 V,243.13 V,9.16 A,6.98 A,16.08 A,-0.99 pf
27/05/2023 12:30:00 PM,244.23 V,244.68 V,244.78 V,9.25 A,7.32 A,14.97 A,-0.99 pf
27/05/2023 1:00:00 PM,245.25 V,245.62 V,245.73 V,9.31 A,7.10 A,16.11 A,-0.99 pf
27/05/2023 1:30:00 PM,245.09 V,245.49 V,245.55 V,9.25 A,7.10 A,15.06 A,-0.99 pf
27/05/2023 2:00:00 PM,244.83 V,245.11 V,245.11 V,9.25 A,7.20 A,16.05 A,-0.99 pf
27/05/2023 2:30:00 PM,244.66 V,244.97 V,244.95 V,9.19 A,7.10 A,15.15 A,-0.99 pf
27/05/2023 3:00:00 PM,245.13 V,245.38 V,245.45 V,8.89 A,6.35 A,15.00 A,-0.99 pf
27/05/2023 3:30:00 PM,245.18 V,245.21 V,245.43 V,9.19 A,6.89 A,14.30 A,-0.99 pf
27/05/2023 4:00:00 PM,244.16 V,244.15 V,244.32 V,9.25 A,7.04 A,15.45 A,-0.99 pf
27/05/2023 4:30:00 PM,244.18 V,244.22 V,244.40 V,9.19 A,6.98 A,14.97 A,-0.99 pf
27/05/2023 5:00:00 PM,244.90 V,244.90 V,245.13 V,9.13 A,7.26 A,14.75 A,-0.99 pf
27/05/2023 5:30:00 PM,245.66 V,245.90 V,246.14 V,8.98 A,6.95 A,13.06 A,1.00 pf
27/05/2023 6:00:00 PM,246.00 V,246.33 V,246.29 V,9.16 A,7.56 A,13.51 A,-0.99 pf
27/05/2023 6:30:00 PM,245.90 V,246.31 V,246.12 V,9.10 A,7.32 A,12.88 A,-0.99 pf
27/05/2023 7:00:00 PM,245.09 V,246.00 V,244.80 V,9.10 A,6.11 A,12.88 A,-0.99 pf
27/05/2023 7:30:00 PM,245.86 V,246.79 V,245.26 V,9.16 A,6.56 A,12.94 A,-0.99 pf
27/05/2023 8:00:00 PM,247.08 V,248.03 V,246.60 V,9.16 A,6.68 A,13.15 A,-0.99 pf
27/05/2023 8:30:00 PM,247.32 V,248.06 V,246.81 V,9.16 A,7.38 A,11.58 A,-0.99 pf
27/05/2023 9:00:00 PM,247.39 V,248.05 V,246.84 V,9.28 A,7.59 A,12.18 A,-0.99 pf
27/05/2023 9:30:00 PM,247.26 V,248.03 V,246.65 V,8.89 A,7.89 A,12.46 A,-0.99 pf
27/05/2023 10:00:00 PM,247.67 V,248.48 V,246.93 V,8.95 A,7.92 A,11.91 A,-0.99 pf
27/05/2023 10:30:00 PM,248.18 V,248.99 V,247.41 V,8.89 A,7.50 A,11.58 A,-0.99 pf
27/05/2023 11:00:00 PM,247.43 V,248.23 V,246.79 V,8.83 A,7.83 A,11.07 A,-0.99 pf
27/05/2023 11:30:00 PM,247.17 V,247.99 V,246.76 V,8.83 A,7.35 A,10.46 A,1.00 pf
