Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
18/05/2023 12:00:00 AM,245.35 V,246.07 V,245.31 V,9.98 A,6.08 A,6.38 A,-0.99 pf
18/05/2023 12:30:00 AM,245.35 V,246.16 V,245.30 V,9.58 A,5.90 A,5.44 A,-0.99 pf
18/05/2023 1:00:00 AM,245.37 V,246.19 V,245.25 V,9.55 A,5.50 A,6.32 A,-0.99 pf
18/05/2023 1:30:00 AM,246.12 V,246.89 V,246.04 V,9.16 A,5.96 A,5.35 A,-0.99 pf
18/05/2023 2:00:00 AM,246.29 V,247.07 V,246.14 V,9.34 A,5.80 A,6.29 A,-0.99 pf
18/05/2023 2:30:00 AM,245.81 V,246.64 V,245.73 V,9.07 A,5.62 A,5.41 A,-0.99 pf
18/05/2023 3:00:00 AM,245.98 V,246.72 V,245.69 V,8.86 A,5.80 A,6.71 A,-0.98 pf
18/05/2023 3:30:00 AM,246.26 V,247.17 V,246.09 V,8.62 A,5.53 A,5.74 A,-0.98 pf
18/05/2023 4:00:00 AM,246.29 V,247.19 V,246.09 V,8.59 A,5.56 A,6.53 A,-0.98 pf
18/05/2023 4:30:00 AM,246.53 V,247.43 V,246.38 V,8.47 A,5.53 A,5.96 A,-0.98 pf
18/05/2023 5:00:00 AM,246.74 V,247.56 V,246.64 V,8.28 A,5.56 A,5.62 A,-0.99 pf
18/05/2023 5:30:00 AM,246.33 V,247.15 V,246.33 V,8.34 A,5.96 A,4.90 A,-0.99 pf
18/05/2023 6:00:00 AM,245.97 V,246.65 V,245.92 V,8.37 A,6.23 A,6.14 A,-0.99 pf
18/05/2023 6:30:00 AM,246.04 V,246.79 V,246.04 V,8.28 A,5.56 A,5.05 A,-0.98 pf
18/05/2023 7:00:00 AM,246.53 V,247.24 V,247.05 V,8.25 A,5.08 A,4.81 A,-0.99 pf
18/05/2023 7:30:00 AM,246.48 V,246.86 V,247.39 V,8.40 A,6.44 A,6.32 A,-0.98 pf
