Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
14/05/2023 12:00:00 AM,247.81 V,248.78 V,247.53 V,8.86 A,5.62 A,4.87 A,-0.98 pf
14/05/2023 12:30:00 AM,247.07 V,248.13 V,246.81 V,8.74 A,4.87 A,5.02 A,-0.98 pf
14/05/2023 1:00:00 AM,247.94 V,248.94 V,247.65 V,8.80 A,4.90 A,5.05 A,-0.98 pf
14/05/2023 1:30:00 AM,247.62 V,248.49 V,247.29 V,8.74 A,5.71 A,4.81 A,-0.97 pf
14/05/2023 2:00:00 AM,248.01 V,248.96 V,247.72 V,8.71 A,5.35 A,4.38 A,-0.97 pf
14/05/2023 2:30:00 AM,247.91 V,248.68 V,247.72 V,8.53 A,5.29 A,4.20 A,-0.99 pf
14/05/2023 3:00:00 AM,247.89 V,248.80 V,247.63 V,8.43 A,5.20 A,4.38 A,-0.97 pf
14/05/2023 3:30:00 AM,248.34 V,249.30 V,248.03 V,8.65 A,5.11 A,5.41 A,-0.97 pf
14/05/2023 4:00:00 AM,248.56 V,249.47 V,248.34 V,8.25 A,5.08 A,4.38 A,-0.97 pf
14/05/2023 4:30:00 AM,248.84 V,249.85 V,248.60 V,8.13 A,5.05 A,4.32 A,-0.97 pf
14/05/2023 5:00:00 AM,249.02 V,249.97 V,248.68 V,8.07 A,4.99 A,5.50 A,-0.96 pf
14/05/2023 5:30:00 AM,244.92 V,245.93 V,244.70 V,8.10 A,4.02 A,4.23 A,-0.98 pf
14/05/2023 6:00:00 AM,245.26 V,246.24 V,245.07 V,7.74 A,4.23 A,4.29 A,-0.97 pf
14/05/2023 6:30:00 AM,245.18 V,246.19 V,245.02 V,7.71 A,5.50 A,5.02 A,-0.98 pf
14/05/2023 7:00:00 AM,245.09 V,246.07 V,245.19 V,7.62 A,5.93 A,3.99 A,-0.99 pf
14/05/2023 7:30:00 AM,245.07 V,245.98 V,245.55 V,7.68 A,5.77 A,4.99 A,-0.98 pf
14/05/2023 8:00:00 AM,245.14 V,245.88 V,245.95 V,7.62 A,6.56 A,4.14 A,-0.98 pf
14/05/2023 8:30:00 AM,244.99 V,245.57 V,246.07 V,7.68 A,6.65 A,4.57 A,-0.99 pf
14/05/2023 9:00:00 AM,244.46 V,245.09 V,245.61 V,7.92 A,4.87 A,4.05 A,-0.98 pf
14/05/2023 9:30:00 AM,244.15 V,244.73 V,245.21 V,8.13 A,4.96 A,5.56 A,-0.98 pf
14/05/2023 10:00:00 AM,243.17 V,243.70 V,244.25 V,8.37 A,4.90 A,5.99 A,-0.98 pf
14/05/2023 10:30:00 AM,242.29 V,242.84 V,243.46 V,8.59 A,4.81 A,4.69 A,-0.98 pf
14/05/2023 11:00:00 AM,242.17 V,242.74 V,243.22 V,8.74 A,4.96 A,5.74 A,-0.98 pf
14/05/2023 11:30:00 AM,242.29 V,242.96 V,243.37 V,8.86 A,5.11 A,5.47 A,-0.99 pf
14/05/2023 12:00:00 PM,242.14 V,242.81 V,243.25 V,9.43 A,4.84 A,5.50 A,-0.98 pf
14/05/2023 12:30:00 PM,242.27 V,243.03 V,243.30 V,9.89 A,4.20 A,5.80 A,-0.99 pf
14/05/2023 1:00:00 PM,241.96 V,242.75 V,243.05 V,9.80 A,3.87 A,5.99 A,-0.99 pf
14/05/2023 1:30:00 PM,241.62 V,242.38 V,242.70 V,10.01 A,4.57 A,6.02 A,-0.99 pf
14/05/2023 2:00:00 PM,242.24 V,243.10 V,243.32 V,10.79 A,4.38 A,6.14 A,-0.99 pf
14/05/2023 2:30:00 PM,242.58 V,243.51 V,243.73 V,10.91 A,4.23 A,5.80 A,-0.99 pf
14/05/2023 3:00:00 PM,242.62 V,243.42 V,243.82 V,11.25 A,5.62 A,5.32 A,-0.99 pf
14/05/2023 3:30:00 PM,242.70 V,243.49 V,243.91 V,11.37 A,5.96 A,5.65 A,-0.99 pf
14/05/2023 4:00:00 PM,242.74 V,243.49 V,243.91 V,11.22 A,5.87 A,5.71 A,-0.99 pf
14/05/2023 4:30:00 PM,242.75 V,243.46 V,243.92 V,11.37 A,5.62 A,5.71 A,-0.99 pf
14/05/2023 5:00:00 PM,242.77 V,243.55 V,243.97 V,11.58 A,5.68 A,5.77 A,-0.99 pf
14/05/2023 5:30:00 PM,242.93 V,243.75 V,244.16 V,11.31 A,5.71 A,6.02 A,-0.99 pf
14/05/2023 6:00:00 PM,242.38 V,243.32 V,243.60 V,10.73 A,5.59 A,6.02 A,-0.99 pf
14/05/2023 6:30:00 PM,242.00 V,243.13 V,242.74 V,10.43 A,4.50 A,4.84 A,-0.99 pf
14/05/2023 7:00:00 PM,243.96 V,245.21 V,243.97 V,9.46 A,3.72 A,5.17 A,-0.99 pf
14/05/2023 7:30:00 PM,244.71 V,245.74 V,244.75 V,9.52 A,6.86 A,6.08 A,-0.99 pf
14/05/2023 8:00:00 PM,244.80 V,245.86 V,244.92 V,9.19 A,7.20 A,5.41 A,-0.99 pf
14/05/2023 8:30:00 PM,244.83 V,245.88 V,245.04 V,9.19 A,7.07 A,4.78 A,-0.99 pf
14/05/2023 9:00:00 PM,245.09 V,246.00 V,245.31 V,9.04 A,7.35 A,4.29 A,-0.99 pf
14/05/2023 9:30:00 PM,245.68 V,246.65 V,245.88 V,9.01 A,7.65 A,4.29 A,-0.99 pf
14/05/2023 10:00:00 PM,245.98 V,246.74 V,246.00 V,9.07 A,7.71 A,5.53 A,-0.98 pf
14/05/2023 10:30:00 PM,247.24 V,248.03 V,247.38 V,8.98 A,6.59 A,4.35 A,-0.98 pf
14/05/2023 11:00:00 PM,247.65 V,248.39 V,247.60 V,8.92 A,6.05 A,5.68 A,-0.98 pf
14/05/2023 11:30:00 PM,248.58 V,249.52 V,248.58 V,8.98 A,5.59 A,4.38 A,-0.98 pf
