Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
16/05/2023 12:00:00 AM,246.22 V,247.10 V,246.24 V,9.95 A,6.62 A,5.59 A,-0.99 pf
16/05/2023 12:30:00 AM,245.97 V,246.84 V,245.93 V,9.80 A,5.90 A,5.62 A,-0.98 pf
16/05/2023 1:00:00 AM,246.17 V,247.17 V,246.17 V,9.70 A,5.41 A,4.44 A,-0.99 pf
16/05/2023 1:30:00 AM,246.65 V,247.51 V,246.57 V,9.49 A,5.77 A,5.62 A,-0.98 pf
16/05/2023 2:00:00 AM,246.69 V,247.62 V,246.65 V,9.31 A,5.44 A,4.84 A,-0.98 pf
16/05/2023 2:30:00 AM,247.43 V,248.44 V,247.24 V,9.22 A,5.53 A,6.20 A,-0.98 pf
16/05/2023 3:00:00 AM,247.94 V,248.89 V,247.79 V,9.10 A,5.53 A,5.74 A,-0.97 pf
16/05/2023 3:30:00 AM,247.91 V,248.92 V,247.77 V,9.22 A,5.26 A,5.20 A,-0.98 pf
16/05/2023 4:00:00 AM,248.03 V,249.01 V,247.86 V,9.01 A,5.38 A,4.38 A,-0.98 pf
16/05/2023 4:30:00 AM,245.80 V,246.84 V,245.52 V,8.95 A,5.05 A,5.80 A,-0.98 pf
16/05/2023 5:00:00 AM,244.54 V,245.50 V,244.34 V,8.89 A,5.47 A,4.41 A,-0.98 pf
16/05/2023 5:30:00 AM,244.22 V,245.11 V,243.94 V,8.71 A,5.17 A,5.65 A,-0.98 pf
16/05/2023 6:00:00 AM,243.85 V,244.73 V,243.70 V,8.80 A,5.56 A,4.41 A,-0.99 pf
16/05/2023 6:30:00 AM,243.53 V,244.27 V,243.22 V,8.62 A,5.17 A,5.59 A,-0.98 pf
16/05/2023 7:00:00 AM,243.67 V,244.75 V,243.87 V,15.69 A,4.81 A,4.75 A,-0.99 pf
16/05/2023 7:30:00 AM,243.42 V,244.56 V,244.47 V,24.13 A,6.44 A,6.26 A,-1.00 pf
16/05/2023 8:00:00 AM,242.15 V,242.45 V,242.98 V,24.19 A,19.95 A,19.29 A,0.99 pf
16/05/2023 8:30:00 AM,239.59 V,239.83 V,240.54 V,28.00 A,24.37 A,21.68 A,-1.00 pf
16/05/2023 9:00:00 AM,239.85 V,240.30 V,240.59 V,34.13 A,24.61 A,26.45 A,-0.99 pf
16/05/2023 9:30:00 AM,240.57 V,241.00 V,241.29 V,38.12 A,27.81 A,30.50 A,-0.98 pf
16/05/2023 10:00:00 AM,239.75 V,239.99 V,240.61 V,38.79 A,31.62 A,31.56 A,-0.97 pf
