Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
13/05/2023 12:00:00 AM,245.54 V,246.35 V,245.66 V,10.16 A,5.53 A,5.14 A,-0.98 pf
13/05/2023 12:30:00 AM,244.66 V,245.54 V,244.71 V,10.01 A,5.14 A,5.32 A,-0.99 pf
13/05/2023 1:00:00 AM,244.83 V,245.83 V,245.09 V,9.77 A,4.93 A,4.29 A,-0.99 pf
13/05/2023 1:30:00 AM,245.35 V,246.21 V,245.43 V,9.61 A,5.68 A,5.08 A,-0.98 pf
13/05/2023 2:00:00 AM,246.43 V,247.43 V,246.62 V,9.61 A,5.23 A,3.30 A,-0.99 pf
13/05/2023 2:30:00 AM,247.08 V,248.08 V,247.03 V,9.67 A,5.41 A,5.71 A,-0.98 pf
13/05/2023 3:00:00 AM,247.89 V,248.99 V,247.94 V,9.52 A,5.23 A,4.35 A,-0.98 pf
13/05/2023 3:30:00 AM,247.91 V,248.90 V,247.87 V,9.43 A,5.20 A,5.44 A,-0.98 pf
13/05/2023 4:00:00 AM,248.08 V,249.18 V,248.13 V,9.46 A,5.26 A,4.35 A,-0.98 pf
13/05/2023 4:30:00 AM,248.44 V,249.52 V,248.42 V,9.40 A,5.14 A,5.44 A,-0.98 pf
13/05/2023 5:00:00 AM,248.48 V,249.63 V,248.58 V,9.19 A,5.23 A,4.38 A,-0.98 pf
13/05/2023 5:30:00 AM,248.63 V,249.78 V,248.61 V,9.22 A,5.05 A,5.44 A,-0.97 pf
13/05/2023 6:00:00 AM,248.51 V,249.69 V,248.58 V,9.04 A,5.08 A,4.38 A,-0.97 pf
13/05/2023 6:30:00 AM,248.42 V,249.59 V,248.53 V,9.31 A,5.83 A,5.32 A,-0.98 pf
13/05/2023 7:00:00 AM,245.92 V,247.00 V,246.05 V,8.83 A,5.32 A,4.32 A,-0.99 pf
13/05/2023 7:30:00 AM,243.51 V,244.46 V,243.53 V,8.83 A,5.47 A,5.41 A,-0.98 pf
13/05/2023 8:00:00 AM,242.15 V,243.34 V,243.08 V,8.77 A,5.05 A,2.93 A,-0.99 pf
13/05/2023 8:30:00 AM,240.13 V,241.43 V,241.24 V,8.80 A,5.65 A,5.32 A,-0.99 pf
13/05/2023 9:00:00 AM,240.42 V,241.23 V,241.35 V,8.71 A,5.93 A,5.26 A,-0.99 pf
13/05/2023 9:30:00 AM,242.17 V,243.12 V,243.27 V,8.59 A,6.02 A,4.81 A,-0.99 pf
13/05/2023 10:00:00 AM,242.45 V,243.48 V,243.53 V,8.53 A,5.59 A,5.65 A,-0.98 pf
13/05/2023 10:30:00 AM,241.59 V,242.55 V,242.53 V,8.53 A,5.02 A,4.72 A,-0.98 pf
13/05/2023 11:00:00 AM,241.24 V,242.41 V,242.21 V,8.47 A,4.90 A,5.50 A,-0.98 pf
13/05/2023 11:30:00 AM,241.79 V,242.77 V,242.69 V,8.43 A,4.87 A,5.17 A,-0.99 pf
13/05/2023 12:00:00 PM,242.96 V,243.77 V,244.06 V,8.50 A,5.05 A,4.93 A,-0.98 pf
13/05/2023 12:30:00 PM,244.70 V,245.42 V,245.66 V,8.37 A,4.99 A,5.80 A,-0.98 pf
13/05/2023 1:00:00 PM,245.16 V,246.05 V,246.36 V,8.50 A,4.50 A,4.78 A,-0.99 pf
13/05/2023 1:30:00 PM,244.76 V,245.73 V,246.02 V,8.74 A,5.80 A,5.41 A,-0.98 pf
13/05/2023 2:00:00 PM,243.96 V,244.94 V,245.35 V,9.07 A,6.41 A,5.29 A,-0.99 pf
13/05/2023 2:30:00 PM,243.49 V,244.52 V,244.76 V,9.89 A,5.96 A,5.44 A,-0.99 pf
13/05/2023 3:00:00 PM,243.06 V,244.08 V,244.20 V,10.67 A,6.05 A,6.08 A,-0.99 pf
13/05/2023 3:30:00 PM,242.27 V,243.25 V,243.49 V,11.97 A,7.07 A,7.56 A,-0.99 pf
13/05/2023 4:00:00 PM,242.26 V,243.41 V,243.55 V,12.49 A,7.10 A,5.68 A,-0.99 pf
13/05/2023 4:30:00 PM,242.29 V,243.37 V,243.58 V,12.52 A,7.07 A,5.83 A,-0.99 pf
13/05/2023 5:00:00 PM,242.88 V,243.94 V,244.13 V,12.00 A,7.32 A,7.17 A,-0.99 pf
13/05/2023 5:30:00 PM,243.67 V,244.76 V,245.06 V,11.52 A,7.26 A,4.78 A,-0.99 pf
13/05/2023 6:00:00 PM,244.39 V,245.35 V,245.54 V,10.55 A,7.47 A,5.20 A,-0.99 pf
13/05/2023 6:30:00 PM,243.84 V,244.95 V,244.78 V,10.64 A,6.80 A,5.53 A,-0.99 pf
13/05/2023 7:00:00 PM,243.36 V,244.54 V,243.39 V,9.73 A,6.56 A,5.83 A,-0.99 pf
13/05/2023 7:30:00 PM,243.58 V,244.78 V,243.51 V,9.25 A,7.32 A,4.99 A,-0.99 pf
13/05/2023 8:00:00 PM,243.13 V,244.46 V,243.30 V,9.37 A,6.89 A,4.99 A,-0.99 pf
13/05/2023 8:30:00 PM,243.73 V,244.90 V,243.79 V,9.25 A,7.68 A,4.66 A,-0.99 pf
13/05/2023 9:00:00 PM,243.97 V,245.07 V,243.96 V,9.01 A,7.80 A,4.38 A,-0.99 pf
13/05/2023 9:30:00 PM,244.51 V,245.52 V,244.39 V,8.98 A,7.68 A,5.41 A,-0.99 pf
13/05/2023 10:00:00 PM,245.07 V,246.24 V,245.06 V,8.92 A,6.38 A,4.41 A,-0.98 pf
13/05/2023 10:30:00 PM,245.93 V,247.08 V,245.80 V,8.92 A,5.62 A,5.41 A,-0.98 pf
13/05/2023 11:00:00 PM,245.88 V,246.96 V,245.74 V,8.89 A,6.08 A,4.57 A,-0.98 pf
13/05/2023 11:30:00 PM,247.08 V,248.18 V,246.91 V,8.83 A,5.38 A,5.29 A,-0.98 pf
