Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
08/01/2023 12:00:00 AM,242.60 V,244.09 V,242.34 V,7.35 A,4.81 A,6.08 A,-0.99 pf
08/01/2023 12:30:00 AM,242.17 V,243.85 V,241.93 V,7.41 A,4.20 A,6.17 A,-0.99 pf
08/01/2023 1:00:00 AM,242.79 V,244.49 V,242.58 V,7.35 A,4.81 A,5.87 A,-0.99 pf
08/01/2023 1:30:00 AM,242.31 V,244.01 V,242.19 V,6.98 A,4.96 A,5.35 A,-0.98 pf
08/01/2023 2:00:00 AM,246.26 V,248.03 V,246.09 V,7.20 A,4.57 A,5.96 A,-0.98 pf
08/01/2023 2:30:00 AM,246.26 V,247.94 V,246.00 V,7.13 A,4.87 A,5.74 A,-0.98 pf
08/01/2023 3:00:00 AM,246.93 V,248.61 V,246.65 V,6.92 A,4.66 A,6.02 A,-0.97 pf
08/01/2023 3:30:00 AM,247.31 V,249.09 V,246.96 V,6.86 A,4.72 A,6.83 A,-0.96 pf
08/01/2023 4:00:00 AM,247.43 V,249.21 V,247.17 V,6.98 A,4.60 A,5.74 A,-0.96 pf
08/01/2023 4:30:00 AM,247.48 V,249.28 V,247.20 V,7.04 A,4.60 A,6.62 A,-0.96 pf
08/01/2023 5:00:00 AM,247.10 V,248.75 V,246.69 V,6.86 A,4.60 A,5.80 A,-0.96 pf
08/01/2023 5:30:00 AM,247.10 V,248.66 V,246.72 V,6.59 A,4.47 A,4.93 A,-0.99 pf
08/01/2023 6:00:00 AM,247.67 V,249.20 V,247.20 V,6.59 A,4.75 A,5.93 A,-0.97 pf
08/01/2023 6:30:00 AM,247.03 V,248.56 V,246.55 V,6.59 A,3.99 A,6.77 A,-0.97 pf
08/01/2023 7:00:00 AM,247.58 V,249.01 V,247.26 V,6.65 A,4.75 A,5.17 A,-0.97 pf
08/01/2023 7:30:00 AM,247.84 V,248.89 V,248.20 V,6.68 A,4.78 A,6.41 A,-0.97 pf
08/01/2023 8:00:00 AM,247.55 V,248.54 V,248.27 V,6.86 A,3.75 A,6.56 A,-0.97 pf
08/01/2023 8:30:00 AM,247.08 V,247.96 V,247.89 V,7.07 A,4.63 A,6.56 A,-0.97 pf
08/01/2023 9:00:00 AM,246.10 V,246.83 V,247.01 V,7.47 A,5.17 A,6.86 A,-0.98 pf
08/01/2023 9:30:00 AM,247.08 V,247.91 V,248.08 V,7.71 A,5.08 A,6.80 A,-0.98 pf
08/01/2023 10:00:00 AM,246.38 V,247.24 V,247.27 V,8.31 A,5.20 A,6.98 A,-0.98 pf
08/01/2023 10:30:00 AM,246.33 V,247.12 V,247.15 V,9.28 A,5.14 A,8.07 A,-0.99 pf
08/01/2023 11:00:00 AM,245.45 V,246.17 V,246.28 V,9.19 A,5.41 A,7.62 A,-0.98 pf
08/01/2023 11:30:00 AM,245.54 V,246.35 V,246.40 V,9.31 A,5.17 A,6.98 A,-0.99 pf
08/01/2023 12:00:00 PM,245.35 V,246.14 V,246.22 V,9.55 A,5.47 A,7.44 A,-0.99 pf
08/01/2023 12:30:00 PM,245.55 V,246.50 V,246.36 V,9.52 A,5.08 A,8.56 A,-0.99 pf
08/01/2023 1:00:00 PM,245.86 V,246.83 V,246.64 V,9.73 A,5.44 A,8.89 A,-0.99 pf
08/01/2023 1:30:00 PM,245.23 V,246.35 V,246.00 V,11.22 A,5.83 A,8.62 A,-0.99 pf
08/01/2023 2:00:00 PM,245.37 V,246.59 V,246.21 V,13.70 A,5.90 A,9.25 A,-0.99 pf
08/01/2023 2:30:00 PM,245.80 V,247.03 V,246.83 V,13.67 A,5.80 A,8.40 A,-0.99 pf
08/01/2023 3:00:00 PM,247.58 V,248.80 V,248.49 V,14.21 A,6.05 A,8.95 A,-0.99 pf
08/01/2023 3:30:00 PM,247.36 V,248.61 V,248.39 V,14.18 A,5.71 A,8.65 A,-0.99 pf
08/01/2023 4:00:00 PM,246.98 V,248.35 V,248.17 V,14.03 A,5.83 A,8.92 A,-0.99 pf
08/01/2023 4:30:00 PM,247.39 V,248.80 V,248.58 V,13.73 A,5.32 A,8.50 A,-0.99 pf
08/01/2023 5:00:00 PM,245.09 V,246.53 V,246.17 V,12.97 A,5.38 A,7.80 A,-0.99 pf
08/01/2023 5:30:00 PM,242.79 V,244.35 V,243.37 V,12.06 A,4.81 A,6.98 A,-0.99 pf
08/01/2023 6:00:00 PM,242.27 V,243.89 V,242.70 V,10.25 A,4.63 A,5.83 A,1.00 pf
08/01/2023 6:30:00 PM,241.88 V,243.53 V,242.07 V,7.86 A,4.41 A,6.14 A,-0.99 pf
08/01/2023 7:00:00 PM,241.57 V,243.27 V,241.55 V,7.74 A,4.90 A,6.95 A,-0.99 pf
