Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
16/01/2023 12:00:00 AM,244.85 V,245.76 V,245.23 V,6.92 A,8.40 A,5.11 A,-0.99 pf
16/01/2023 12:30:00 AM,243.15 V,244.11 V,243.49 V,6.80 A,8.13 A,5.08 A,-0.99 pf
16/01/2023 1:00:00 AM,243.58 V,244.58 V,243.94 V,6.74 A,8.53 A,4.53 A,-0.99 pf
16/01/2023 1:30:00 AM,243.53 V,244.27 V,243.60 V,6.77 A,8.47 A,4.93 A,-0.99 pf
16/01/2023 2:00:00 AM,244.25 V,245.26 V,244.56 V,6.38 A,8.47 A,5.14 A,-0.99 pf
16/01/2023 2:30:00 AM,244.99 V,245.95 V,245.13 V,6.41 A,8.31 A,5.26 A,-0.99 pf
16/01/2023 3:00:00 AM,244.92 V,245.69 V,244.92 V,6.29 A,8.19 A,4.78 A,-0.98 pf
16/01/2023 3:30:00 AM,244.56 V,245.69 V,244.76 V,6.17 A,8.10 A,5.38 A,-0.98 pf
16/01/2023 4:00:00 AM,245.30 V,246.14 V,245.25 V,6.17 A,7.95 A,5.05 A,-0.98 pf
16/01/2023 4:30:00 AM,245.57 V,246.52 V,245.68 V,6.23 A,7.95 A,4.78 A,-0.99 pf
16/01/2023 5:00:00 AM,245.23 V,246.17 V,245.31 V,6.26 A,8.04 A,4.69 A,-0.99 pf
16/01/2023 5:30:00 AM,244.83 V,245.71 V,244.85 V,6.20 A,8.16 A,5.05 A,-0.98 pf
16/01/2023 6:00:00 AM,244.47 V,245.28 V,244.51 V,6.08 A,7.68 A,5.41 A,-0.98 pf
16/01/2023 6:30:00 AM,244.09 V,244.94 V,244.08 V,6.11 A,7.07 A,5.44 A,-0.98 pf
16/01/2023 7:00:00 AM,244.15 V,244.97 V,244.25 V,5.93 A,7.65 A,4.81 A,-0.99 pf
16/01/2023 7:30:00 AM,243.48 V,244.22 V,244.47 V,15.45 A,14.33 A,7.71 A,1.00 pf
16/01/2023 8:00:00 AM,242.89 V,243.44 V,243.97 V,15.51 A,13.67 A,10.85 A,0.99 pf
16/01/2023 8:30:00 AM,240.45 V,240.87 V,241.55 V,17.02 A,15.72 A,11.79 A,-1.00 pf
16/01/2023 9:00:00 AM,241.52 V,241.64 V,242.63 V,16.36 A,16.20 A,11.28 A,0.99 pf
16/01/2023 9:30:00 AM,240.92 V,241.21 V,242.08 V,16.27 A,16.57 A,11.31 A,0.99 pf
16/01/2023 10:00:00 AM,241.28 V,241.43 V,242.14 V,16.20 A,16.90 A,14.06 A,0.99 pf
16/01/2023 10:30:00 AM,241.24 V,241.52 V,242.31 V,16.63 A,17.14 A,12.03 A,0.99 pf
16/01/2023 11:00:00 AM,240.54 V,240.80 V,241.69 V,16.96 A,17.29 A,12.18 A,0.99 pf
16/01/2023 11:30:00 AM,240.80 V,241.05 V,241.69 V,16.36 A,16.93 A,12.27 A,0.99 pf
16/01/2023 12:00:00 PM,241.45 V,241.76 V,242.31 V,17.50 A,17.60 A,13.36 A,0.99 pf
16/01/2023 12:30:00 PM,242.38 V,242.69 V,243.46 V,17.60 A,16.96 A,14.03 A,0.99 pf
16/01/2023 1:00:00 PM,241.74 V,242.17 V,242.94 V,17.69 A,16.90 A,12.09 A,0.99 pf
16/01/2023 1:30:00 PM,240.25 V,240.49 V,241.35 V,18.80 A,18.11 A,12.70 A,0.99 pf
16/01/2023 2:00:00 PM,239.53 V,239.73 V,240.61 V,19.98 A,18.96 A,14.45 A,-0.99 pf
16/01/2023 2:30:00 PM,239.30 V,239.68 V,240.32 V,19.89 A,18.87 A,13.67 A,-0.99 pf
16/01/2023 3:00:00 PM,239.41 V,239.82 V,240.50 V,20.13 A,20.56 A,13.73 A,-0.99 pf
16/01/2023 3:30:00 PM,239.01 V,239.63 V,240.54 V,19.74 A,21.47 A,11.79 A,-0.99 pf
16/01/2023 4:00:00 PM,239.41 V,240.02 V,240.93 V,19.29 A,19.41 A,11.55 A,-0.99 pf
16/01/2023 4:30:00 PM,240.66 V,241.26 V,241.78 V,15.93 A,13.76 A,10.34 A,-0.99 pf
16/01/2023 5:00:00 PM,243.03 V,243.49 V,244.39 V,8.28 A,7.77 A,6.83 A,-0.99 pf
16/01/2023 5:30:00 PM,244.37 V,244.85 V,245.78 V,8.10 A,7.68 A,7.71 A,-0.99 pf
16/01/2023 6:00:00 PM,243.72 V,244.11 V,245.06 V,8.04 A,7.77 A,7.44 A,-0.99 pf
16/01/2023 6:30:00 PM,242.33 V,242.79 V,243.42 V,7.89 A,7.29 A,7.92 A,-0.99 pf
16/01/2023 7:00:00 PM,244.49 V,245.25 V,245.04 V,7.44 A,7.77 A,7.01 A,-0.98 pf
16/01/2023 7:30:00 PM,246.62 V,247.50 V,246.86 V,7.23 A,7.74 A,6.98 A,-0.98 pf
16/01/2023 8:00:00 PM,247.15 V,248.06 V,247.43 V,6.98 A,7.80 A,6.71 A,-0.97 pf
16/01/2023 8:30:00 PM,247.77 V,248.73 V,248.10 V,7.04 A,7.74 A,6.05 A,-0.97 pf
16/01/2023 9:00:00 PM,248.49 V,249.16 V,248.70 V,7.20 A,7.89 A,6.32 A,-0.97 pf
