Date/Time,Voltage Ph-A Avg,Voltage Ph-B Avg,Voltage Ph-C Avg,Current Ph-A Avg,Current Ph-B Avg,Current Ph-C Avg,Power Factor Total
24/01/2023 12:00:00 AM,245.86 V,247.24 V,246.02 V,7.32 A,4.93 A,5.08 A,-0.98 pf
24/01/2023 12:30:00 AM,245.07 V,246.47 V,245.21 V,6.77 A,4.69 A,4.99 A,-0.98 pf
24/01/2023 1:00:00 AM,245.61 V,247.03 V,245.66 V,6.95 A,4.99 A,5.14 A,-0.98 pf
24/01/2023 1:30:00 AM,244.66 V,246.14 V,244.68 V,6.98 A,5.05 A,5.05 A,-0.98 pf
24/01/2023 2:00:00 AM,243.51 V,244.90 V,243.44 V,6.92 A,4.99 A,4.20 A,-0.98 pf
24/01/2023 2:30:00 AM,242.79 V,244.25 V,242.70 V,6.95 A,4.87 A,4.81 A,-0.98 pf
24/01/2023 3:00:00 AM,243.27 V,244.75 V,243.20 V,6.92 A,4.78 A,4.72 A,-0.98 pf
24/01/2023 3:30:00 AM,243.13 V,244.58 V,243.06 V,6.86 A,4.90 A,4.60 A,-0.99 pf
24/01/2023 4:00:00 AM,244.01 V,245.33 V,243.87 V,6.89 A,4.57 A,3.60 A,-0.99 pf
24/01/2023 4:30:00 AM,244.22 V,245.61 V,244.04 V,6.68 A,4.87 A,4.05 A,-0.97 pf
24/01/2023 5:00:00 AM,244.16 V,245.61 V,243.94 V,6.74 A,4.60 A,4.66 A,-0.98 pf
24/01/2023 5:30:00 AM,243.65 V,245.01 V,243.41 V,6.83 A,4.87 A,4.93 A,-0.98 pf
24/01/2023 6:00:00 AM,243.44 V,244.90 V,243.18 V,6.65 A,3.72 A,4.66 A,-0.97 pf
24/01/2023 6:30:00 AM,243.22 V,244.68 V,242.89 V,6.71 A,3.63 A,4.99 A,-0.98 pf
24/01/2023 7:00:00 AM,245.80 V,247.17 V,245.54 V,6.95 A,3.93 A,4.32 A,-0.97 pf
24/01/2023 7:30:00 AM,248.17 V,249.49 V,248.63 V,6.80 A,4.60 A,5.11 A,-0.96 pf
24/01/2023 8:00:00 AM,247.99 V,249.08 V,249.09 V,7.07 A,5.26 A,5.59 A,-0.97 pf
24/01/2023 8:30:00 AM,247.43 V,248.37 V,248.58 V,7.07 A,5.08 A,5.71 A,-0.97 pf
24/01/2023 9:00:00 AM,247.75 V,248.68 V,249.04 V,7.35 A,5.41 A,5.50 A,-0.97 pf
24/01/2023 9:30:00 AM,247.46 V,248.25 V,248.77 V,7.41 A,5.38 A,5.59 A,-0.97 pf
24/01/2023 10:00:00 AM,247.81 V,248.56 V,249.25 V,7.47 A,5.08 A,4.20 A,-0.99 pf
24/01/2023 10:30:00 AM,248.15 V,248.85 V,249.39 V,7.50 A,5.38 A,6.23 A,-0.97 pf
24/01/2023 11:00:00 AM,247.86 V,248.66 V,249.13 V,8.22 A,5.56 A,5.74 A,-0.98 pf
24/01/2023 11:30:00 AM,247.31 V,248.11 V,248.54 V,9.73 A,5.50 A,6.53 A,-0.98 pf
24/01/2023 12:00:00 PM,246.98 V,247.96 V,248.46 V,11.10 A,5.56 A,6.35 A,-0.99 pf
24/01/2023 12:30:00 PM,246.69 V,247.82 V,248.17 V,12.12 A,5.53 A,7.47 A,-0.99 pf
24/01/2023 1:00:00 PM,246.48 V,247.41 V,247.94 V,12.24 A,5.53 A,6.53 A,-0.99 pf
24/01/2023 1:30:00 PM,246.16 V,247.05 V,247.55 V,12.09 A,5.62 A,6.95 A,-0.99 pf
24/01/2023 2:00:00 PM,246.29 V,247.29 V,247.74 V,12.03 A,5.59 A,5.90 A,-0.99 pf
24/01/2023 2:30:00 PM,248.37 V,249.59 V,249.80 V,12.24 A,5.68 A,7.01 A,-0.99 pf
24/01/2023 3:00:00 PM,245.07 V,246.28 V,246.60 V,12.37 A,5.59 A,5.99 A,-0.99 pf
24/01/2023 3:30:00 PM,244.56 V,245.86 V,246.21 V,12.58 A,5.53 A,6.71 A,-0.99 pf
24/01/2023 4:00:00 PM,244.54 V,245.73 V,245.97 V,11.67 A,4.81 A,5.26 A,-0.99 pf
24/01/2023 4:30:00 PM,244.52 V,245.49 V,245.78 V,9.89 A,4.99 A,4.90 A,-0.99 pf
24/01/2023 5:00:00 PM,244.54 V,245.52 V,245.68 V,7.35 A,4.84 A,5.50 A,-0.98 pf
24/01/2023 5:30:00 PM,244.66 V,245.73 V,245.85 V,7.23 A,4.90 A,5.53 A,-0.98 pf
24/01/2023 6:00:00 PM,244.01 V,245.04 V,245.21 V,7.23 A,4.93 A,5.38 A,-0.98 pf
24/01/2023 6:30:00 PM,242.93 V,243.97 V,243.91 V,7.20 A,4.53 A,5.32 A,-0.98 pf
24/01/2023 7:00:00 PM,245.73 V,246.93 V,246.14 V,7.35 A,5.02 A,5.59 A,-0.98 pf
24/01/2023 7:30:00 PM,245.88 V,247.07 V,246.04 V,7.41 A,5.17 A,5.50 A,-0.98 pf
24/01/2023 8:00:00 PM,246.98 V,248.17 V,247.12 V,7.44 A,5.08 A,4.90 A,-0.97 pf
